en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
SEES	特別課外活動部	특별과외활동부	特别课外活动部	特別課外活動部	SEES	SEES	SEES	SEES	SPOE	S.E.E.S.	SEES	UMDİB
Classmate	クラスメイト	반 친구	同班同学	同班同學	Klassenkamerad	Compi de clase	Camarade	Liceale	Kolega z klasy	Colega de Classe	Одноклассник	Sınıf arkadaşı
Fuuka Yamagishi	山岸風花	야마기시 후카	山岸风花	山岸 風花	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Фуука Ямагиси	Fuuka Yamagishi
Mitsuru Kirijo	桐条美鶴	키리조 미츠루	桐条美鹤	桐条 美鶴	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Мицуру Киридзё	Mitsuru Kirijo
Student Council	生徒会	학생회	学生会	學生會	Schülerrat	Consejo estudiantil	Conseil des élèves	Consiglio studentesco	Samorząd uczniowski	Conselho Estudantil	Совет учеников	Öğrenci Meclisi
Old Couple	古本屋の老夫婦	헌책방 노부부	旧书店老夫妻	舊書店的老夫婦	Altes Paar	Pareja de ancianos	Couple âgé	Coppia di anziani	Starsza para	Casal de Idosos	Пожилая пара	Yaşlı Çift
Yukari Takeba	岳羽ゆかり	타케바 유카리	岳羽由加莉	岳羽 由加莉	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Юкари Такэба	Yukari Takeba
Track Team	運動部	운동부	体育社团	體育社團	Leichtathletikteam	Equipo de atletismo	Équipe d'endurance	Squadra di atletica	Drużyna lekkoatletyczna	Equipe de Atletismo	Команда легкой атлетики	Atletizm Takımı
Treasurer	生徒会会計	학생회 회계	学生会会计	學生會財務	Kassenwartin	Tesorera	Trésorière	Tesoriera	Skarbniczka	Tesoureira	Казначей	Mali İşler Sorumlusu
Online Game	インターネット	인터넷	互联网	網路	Online-Gaming	Juego en línea	Jeu en ligne	Gioco online	Gra online	Jogo Online	Онлайн-игра	Çevrimiçi Oyun
Art Club	文化部	문화부	文艺社团	藝文社團	Kunstclub	Club de arte	Club d'art	Club di arte	Klub miłośników sztuki	Clube de Arte	Художественный клуб	Sanat Kulübü
Team Manager	女子マネージャー	여자 매니저	社团女经理	女社團經理	Trainerin	Encargada del equipo	Responsable d'équipe	Team Manager	Kierownik drużyny	Gerente da Equipe	Менеджер команды	Takım Yöneticisi
Girl at the Shrine	神社の女の子	신사의 여자아이	神社的小女孩	神社的小女孩	Mädchen am Schrein	Chica del santuario	Fille au sanctuaire	Bambina al santuario	Dziewczynka w świątyni	Garota do Santuário	Девочка у храма	Mabetteki Kız
Mysterious Boy	謎の少年	수수께끼의 소년	神秘少年	神祕少年	Geheimnisvoller Junge	Chico misterioso	Garçon mystérieux	Ragazzo misterioso	Tajemniczy chłopiec	Garoto misterioso	Загадочный мальчик	Gizemli Oğlan
Transfer Student	同好会の留学生	동호회의 유학생	同好会的留学生	同好會的留學生	Neuer Schüler	Estudiante de fuera	Élève étranger	Nuovo studente	Uczeń z wymiany	Aluno Transferido	Новый ученик	Nakil Öğrencisi
Businessman	テレビ通販社長	TV 쇼핑 사장	电视购物社长	電視購物公司的社長	Geschäftsmann	Empresario	Homme d'affaires	Uomo d'affari	Biznesmen	Empresário	Бизнесмен	İş İnsanı
Unusual Monk	型破りな僧侶	파계승	与众不同的僧侣	舉止不凡的僧侶	Seltsamer Mönch	Monje inusual	Moine étrange	Strano monaco	Niezwykły mnich	Monge Excêntrico	Необычный монах	Sıra Dışı Keşiş
Rival Athlete	他校のエース	다른 학교의 에이스	外校的王牌选手	友校的王牌	Sportrivale	Atleta rival	Athlète rival	Atleta rivale	Sportowy rywal	Atleta Rival	Соперник-атлет	Rakip Sporcu
Gourmet King	グルメキング	미식왕	美食大王	美食王	Gourmet-König	Rey gourmet	Roi des gourmets	Re Gourmet	Król Smakoszy	Rei Gourmet	Король гурманов	Gurme Kralı
Dying Young Man	余命いくばくも無い青年	여생이 얼마 남지 않은 청년	命不久矣的青年	時日無多的少年	Junger Sterbender	Joven moribundo	Jeune homme mourant	Giovane morente	Umierający młody mężczyzna	Jovem Moribundo	Умирающий юноша	Ölmek Üzere Olan Genç Adam
Nyx Annihilation Team	ニュクス討伐隊	닉스 토벌대	倪克斯讨伐队	尼克斯討伐隊	Nyx-Auslöschungsteam	Equipo de aniquilación de Nix	Groupe anti-Nyx	Squadra di distruzione di Nyx	Oddział Uderzeniowy Nyx	Equipe de Aniquilação de Nix	Команда уничтожения Никты	Nyx İmha Takımı
Aigis	アイギス	아이기스	埃癸斯	埃癸斯	Aigis	Aigis	Aigis	Aigis	Aigis	Aigis	Айгис	Aigis
UNKNOWN	UNKNOWN	UNKNOWN	ＵＮＫＮＯＷＮ	ＵＮＫＮＯＷＮ	UNBEKANNT	DESCONOCIDO	INCONNU	SCONOSCIUTO	NIEZNANE	DESCONHECIDO	НЕИЗВЕСТНО	BİLİNMEYEN
UNKNOWN	UNKNOWN	UNKNOWN	ＵＮＫＮＯＷＮ	ＵＮＫＮＯＷＮ	UNBEKANNT	DESCONOCIDO	INCONNU	SCONOSCIUTO	NIEZNANE	DESCONHECIDO	НЕИЗВЕСТНО	BİLİNMEYEN
