id	en	jp	cn	tw	ko	gr	es	fr	it
CNAME_UNKNOWN	???	？？？	？？？	？？？	???	???	???	???	???
CNAME_PC_SYS									
CNAME_PC_DEBUGINFO									
CNAME_PC_RINGO	Ringo	リンゴ	林檎	林檎	링고	Ringo	Ringo	Ringo	Ringo
CNAME_PC_RINGO_1	Ringo's Illusion	リンゴの幻像	林檎的幻象	林檎的幻象	링고의 환상	Illusion von Ringo	Ilusión de Ringo	Illusion de Ringo	Illusione di Ringo
CNAME_ND_FIG	Figue	フィグ	菲格	菲格	피그	Figue	Figue	Figue	Figue
CNAME_ND_FIG_1	Purple-haired Woman	紫色の髪の女	紫发女性	紫髮的女性	보라색 머리의 여자	Frau mit violetten Haaren	Mujer con pelo morado	Femme aux cheveux violets	Donna dai capelli viola
CNAME_ND_HACHI	Mimi	ミミ	米米	咪咪	미미	Mimi	Mimi	Mimi	Mimi
CNAME_ND_HACHI_1	Mysterious Owl	謎のフクロウ	奇怪的猫头鹰	神秘的貓頭鷹	정체불명의 부엉이	Mysteriöse Eule	Búho misterioso	Chouette étrange	Gufo misterioso
CNAME_PC_ARROW	Arrow	アロウ	艾罗	Arrow	애로	Arrow	Arrow	Arrow	Arrow
CNAME_PC_ARROW_1	Arrow's Illusion	アロウの幻像	艾罗的幻象	Arrow的幻象	애로의 환상	Illusion von Arrow	Ilusión de Arrow	Illusion d'Arrow	Illusione di Arrow
CNAME_ND_YOUNG_ARROW	Arrow	アロウ	艾罗	Arrow	애로	Arrow	Arrow	Arrow	Arrow
CNAME_PC_MILADY	Milady	ミレディ	米莱狄	Milady	밀라디	Milady	Milady	Milady	Milady
CNAME_PC_MILADY_1	Iron Mask	鉄仮面	铁面人	鐵面人	철가면	Eiserne Maske	Máscara de Hierro	Masque de Fer	Maschera di ferro
CNAME_PC_MILADY_2	Milady's Illusion	ミレディの幻像	米莱狄的幻象	Milady的幻象	밀라디의 환상	Illusion von Milady	Ilusión de Milady	Illusion de Milady	Illusione di Milady
CNAME_ND_YOUNG_MILADY	Milady	ミレディ	米莱狄	Milady	밀라디	Milady	Milady	Milady	Milady
CNAME_PC_PSYZOW	Saizo	サイゾー	才藏	Saizo	사이조	Saizo	Saizo	Saizo	Saizo
CNAME_PC_PSYZOW_1	Saizo's Illusion	サイゾーの幻像	才藏的幻象	Saizo的幻象	사이조의 환상	Illusion von Saizo	Ilusión de Saizo	Illusion de Saizo	Illusione di Saizo
CNAME_ND_NANA	Nana	ナナ	七奈	七奈	나나	Nana	Nana	Nana	Nana
CNAME_ND_NANA_1	Girl with Big Backpack	大きなリュックの少女	背着大背包的少女	背著大包包的少女	큰 가방을 멘 소녀	Mädchen mit großem Rucksack	Chica con mochilón	Fille au gros sac à dos	Ragazza con lo zaino
CNAME_ND_MERLIN	Raven	レイブン	雷文	Raven	레이븐	Raven	Raven	Raven	Raven
CNAME_ND_MERLIN_1	Man in Coat	コートの男	穿着外套的男性	身穿大衣的男性	코트를 입은 남자	Mann mit Mantel	Hombre con abrigo	Homme en manteau	Uomo col cappotto
CNAME_ND_MERLIN_2	Calm Employee	落ち着いた職員	沉着的职员	沉穩的職員	차분한 직원	Ruhiger Angestellter	Empleado calmado	Employé calme	Impiegato calmo
CNAME_ND_MANGETSU	Mangetsu	マンゲツ	满月	滿月	만게츠	Mangetsu	Mangetsu	Mangetsu	Mangetsu
CNAME_ND_FLAMMA	Flamma	フランマ	芙朗玛	芙朗瑪	플람마	Flamma	Flamma	Flamma	Flamma
CNAME_ND_FLAMMA_1	Aion	Aion	Aion	Aion	Aion	Aion	Aion	Aion	Aion
CNAME_ND_ORACLE_LEADER	Iron Mask	鉄仮面	铁面人	鐵面人	철가면	Eiserne Maske	Máscara de Hierro	Masque de Fer	Maschera di ferro
CNAME_ND_ORACLE_LEADER_1	Masked Man	仮面の男	戴着面具的男性	戴著面具的男性	가면을 쓴 남자	Maskierter Mann	Hombre enmascarado	Homme masqué	Uomo mascherato
CNAME_ND_PAUL	Paul	ポール	保罗	保羅	폴	Paul	Paul	Paul	Paul
CNAME_ND_PAUL_1	Kind Young Man	優しそうな青年	面相温柔的青年	看似善良的青年	친절해 보이는 청년	Netter junger Mann	Joven amable	Garçon gentil	Giovane gentile
CNAME_ND_PAUL_2	Slender Man	長身痩躯の男	身材高瘦的男性	又高又瘦的男性	장신의 야윈 남자	Großer schlanker Mann	Hombre esbelto	Grand homme mince	Uomo alto e magro
CNAME_ND_PAUL_3	Kind Voice	優しそうな声	温柔的声音	感覺溫柔的聲音	친절해 보이는 목소리	Gütige Stimme	Voz amable	Voix douce	Voce gentile
CNAME_ND_DQN	R.S.	R.S.	R.S.	R.S.	R.S.	R. S.	R.S.	S.R.	S.R.
CNAME_ND_DQN_1	Some Kind of Rapper?	ラッパー風の男	说唱歌手打扮的男性	饒舌風的男性	래퍼 분위기의 남자	Rappender Mann	Rapero	Homme qui rappe	Uomo dall'aspetto di un rapper
CNAME_ND_FRIEND_A	Kaburagi	カブラギ	镝木	Kaburagi	카부라기	Kaburagi	Kaburagi	Kaburagi	Kaburagi
CNAME_ND_FRIEND_A_1	Enraged Man	激昂した男	情绪激动的男性	激動的男性	격앙한 남자	Wütender Mann	Hombre furioso	Homme énervé	Uomo furioso
CNAME_ND_FRIEND_A_2	Perplexed Man	戸惑った男	不知所措的男性	疑惑的男性	망설인 남자	Verwirrter Mann	Hombre asombrado	Un homme perplexe	Uomo perplesso
CNAME_ND_FRIEND_A_YOUNG	Kaburagi	カブラギ	镝木	Kaburagi	카부라기	Kaburagi	Kaburagi	Kaburagi	Kaburagi
CNAME_ND_FRIEND_A_YOUNG_1	Smiling Boy	笑いかけた少年	笑容可掬的少年	面露微笑的少年	활짝 웃는 소년	Lächelnder Junge	Chico sonriente	Garçon souriant	Bambino sorridente
CNAME_ND_FRIEND_A_YOUNG_2	Smirking Boy	不敵に笑う少年	自信得意的少年	膽大包天的少年	겁 없이 웃는 소년	Grinsender Junge	Chico socarrón	Garçon au sourire en coin	Bambino compiaciuto
CNAME_ND_VIRUSMAN	Ash	アッシュ	亚什	Ash	애시	Ash	Ash	Ash	Ash
CNAME_ND_VIRUSMAN_1	Friendly Woman	親しげな女	举止亲昵的女性	友善的女性	다정한 여자	Freundliche Frau	Mujer simpática	Femme amicale	Donna socievole
CNAME_ND_VIRUSMAN_2	Crying Woman	涙をこぼす女	流泪的女性	流著淚的女性	눈물을 흘리는 여자	Weinende Frau	Mujer llorando	Femme pleurante	Donna in lacrime
CNAME_ND_VIRUSMAN_3	Gloomy Summoner	影のあるサマナー	阴沉的召唤师	滄桑的召喚師	어두운 분위기의 서머너	Bedrückter Beschwörer	Invocadora sombría	Invocateur sinistre	Evocatrice cupa
CNAME_ND_RIVAL	Zenon	ゼノン	芝诺	Zenon	제논	Zenon	Zenon	Zenon	Zenon
CNAME_ND_RIVAL_1	Expressionless Man	無表情な男	面无表情的男性	面無表情的男性	무표정한 남자	Ausdrucksloser Mann	Hombre inexpresivo	Homme sans expression	Uomo senza espressione
CNAME_ND_DARKSUMMONER_1A	Boorish Man	柄の悪い男	品行不端的男性	惡劣的男性	불량해 보이는 남자	Rüpel	Hombre zafio	Homme grossier	Uomo rozzo
CNAME_ND_DARKSUMMONER_1B	Restless Woman	落ち着きのない女	浮躁的女性	靜不下來的女性	경박한 여자	Ruhelose Frau	Mujer inquieta	Femme agitée	Donna irrequieta
CNAME_ND_SABBATH_DEVIL	Poltergeist	ポルターガイスト	骚灵	騷靈	폴터가이스트	Poltergeist	Poltergeist	Poltergeist	Poltergeist
CNAME_ND_DRUG_DEALER	Onda	恩田	恩田	恩田	온다	Onda	Onda	Onda	Onda
CNAME_ND_DRUG_DEALER_1	Man in Lab Coat	白衣を着た男	穿着白大褂的男性	身穿白大衣的男性	백의를 입은 남자	Mann im Laborkittel	Científico con bata	Homme en blouse blanche	Uomo con camice
CNAME_ND_PET_KILLER	Mannequin	マネキン	模涅金	模涅金	마네킹	Mannequin	Maniquí	Mannequin	Mannequin
CNAME_ND_PET_KILLER_1	Self-conscious Man	自意識過剰そうな男	自我感觉良好的男性	自我感覺良好的男性	자의식이 강한 남자	Verlegener Mann	Hombre flipado	Homme mal à l'aise	Uomo imbarazzato
CNAME_ND_CLERK_CAFE	Hughes	ヒューズ	休斯	休斯	휴즈	Hughes	Hughes	Hughes	Hughes
CNAME_ND_CLERK_CAFE_1	Barkeep	店主らしき男	店主模样的男性	疑似店長的男性	점주로 보이는 남자	Barmann	Camarero	Barman	Proprietario del bar
CNAME_ND_CAFE_GIRL	Yume	ユメ	小梦	小夢	유메	Yume	Yume	Yume	Yume
CNAME_ND_CAFE_GIRL_1	Energetic Employee	元気な店員	充满活力的店员	精力旺盛的店員	활기찬 점원	Lebhafte Angestellte	Empleada superalegre	Employée énergique	Cameriera allegra
CNAME_ND_GINKO	Madam Ginko	マダム銀子	银子女士	銀子女士	마담 긴코	Madam Ginko	Madame Ginko	Madame Ginko	Madam Ginko
CNAME_ND_GINKO_1	Mysterious Woman	ミステリアスな女	气质神秘的女性	充滿神秘感的女性	신비로운 여자	Mysteriöse Frau	Mujer misteriosa	Femme mystérieuse	Donna misteriosa
CNAME_ND_CLERK_ITEM	Lina	リーナー	莉娜	莉娜	리나	Lina	Lina	Lina	Lina
CNAME_ND_CLERK_ITEM_1	Nosy Woman	妙に距離が近い女	莫名自来熟的女性	態度莫名親密的女性	묘하게 친근한 여자	Frau ohne Sinn für Privatsphäre	Mujer que se toma confianzas	Femme à l'étroit	Donna invadente
CNAME_ND_CLERK_GUMP	Tatara	タタラたん	蓓蓓	蓓蓓	타타라	Tatara	Tatara	Tatara	Tatara
CNAME_ND_CLERK_GUMP_1	Young Artisan	若い腕利きの職人	优秀的年轻工匠	技術高超的專家	실력 좋은 젊은 장인	Talentierte Künstlerin	Experta artesana joven	Jeune artisane douée	Artigiana specializzata
CNAME_ND_VICTOR	Victor	ヴィクトル	维克多	維克多	빅토르	Victor	Victor	Victor	Victor
CNAME_ND_TIMID_MAN	Timid Old Man	気弱な老人	软弱的老人	孱弱的老人	심약한 노인	Schüchterner alter Mann	Anciano tímido	Vieillard timide	Uomo anziano timido
CNAME_ND_MOTH_DEMON	Moth-like Demon	蛾のような悪魔	长得像蛾的恶魔	飛蛾般的惡魔	나방 형상의 악마	Mottenhafter Dämon	Demonio polilla	Démon phalène	Demone simile a una falena
CNAME_ND_MEAN_CHILD	Nasty Boy	性格の悪そうな少年	看似淘气的少年	性格惡劣的少年	성격이 나빠 보이는 소년	Fieser Junge	Niño revoltoso	Mauvais garçon	Bambino cattivo
CNAME_ND_NASTY_CHILD	Mean Boy	底意地の悪そうな少年	看似阴险的少年	居心不良的少年	심술궂은 소년	Gemeiner Junge	Niño malo	Garçon méchant	Bambino perfido
