Metatron	The greatest angel in Judeo-Christian legend. He is known as the Voice of God or the Angel of Contracts. Despite his duty to maintain the world's order, he shows no mercy towards humanity.
Beelzebub	Demonic Lord of the Flies whose insect minions carry souls for him to control. He is mentioned in the Bible as a leader of evil spirits and is seen as a powerful demon.
Cu Chulainn	A hero in Celtic folklore. He was called Setanta until he earned the name, "Culann's Hound." There are many tales of his adventures. He received his spear, Gae Bolg, from his mentor, Scathach.
Jack-o'-Lantern	A drunkard who tricked the Devil out of taking him to Hell. When refused entry to Heaven, he was forced to wander the earth with only an ember as a light.
Jack Frost	A winter fairy of European descent. He leaves ice patterns on windows and nips people's noses. Though normally an innocent creature, he will freeze his victims to death if provoked.
Pixie	Friendly fairies of the forest that tend to hide from humans. They like to play tricks on the Laz people. It is said they are the souls of dead, unbaptized children.
Cerberus	The guardian hound who prevents anyone from entering or exiting the underworld in Greek lore. It was born from Typhon and Echidna, and is the older brother of Orthrus.
Lilim	A demon who tempts sleeping men and attacks infants. She is the daughter of the demoness, Lilith. Like her mother, she drains men of their essence.
Eligor	One of the 72 demons of the Goetia. He looks like a knight and has the power to see things to come. He also knows much about war.
Odin	The father of all gods in Norse legend. He willingly sacrificed one eye to gain wisdom. In preparation for Ragnarok, he gathers the souls of fallen warriors to his hall, Valhalla.
Hua Po	A spirit of Chinese folklore who dwells in trees once used for hangings. She is smaller than a human and cannot speak, but her voice is said to be as clear and as beautiful as a bird's song.
Decarabia	One of the 72 demons of the Goetia, this demon appears as a pentacle. Keeper of jewels and herbal lore, Decarabia is said to have the ability to shape- shift at will.
Mara	A Buddhist demon that represents the fear of death. Also known as "The Evil One," he sent his daughters to tempt Buddha during his meditations.
Ose	One of the 72 demons of the Goetia, he is known as the President of Hell. He can shape- shift from leopard to human and reveal the truth behind divine mysteries.
Thor	The Norse thunder god and son of Odin, Thor owns the power enhancing belt, Megingjard, and wields Mjolnir, a hammer that causes lightning to strike and returns to its owner if thrown.
Unicorn	A legendary white horse with a single spiral horn. It can only be tamed by a pure maiden, and its horn supposedly has miraculous healing capabilities.
Uriel	One of the four major archangels. His name means "Flame of God," and he knows all the celestial phenomena. He is the first angel Satan met on earth.
Sarasvati	The Hindu goddess of rivers, and patron of speech, writing, learning, the arts, and sciences. Brahma is her husband.
Valkyrie	"Choosers of the slain" in Norse lore. Armed with shining armor and swords, they look for brave warriors to take to Valhalla, so that they may fight in Ragnarok.
Yaksini	A female demon in Hindu lore. Though originally a Dravidian fertility goddess, the spread of Hinduism changed perception of her to a demonic figure. Usually depicted as a nude, voluptuous, female.
Ganesha	The Hindu elephant- headed god. He was originally created by Parvati in order to prevent anyone from watching her bathe. Shiva batted off his original head and replaced it with an elephant's head.
Anubis	The jackal-headed god of the dead and embalming from Egyptian myth. He weighs the hearts of the dead to determine their final destination.
Mot	The Canaanite god of death. Every year he attempts to kill Baal, the god of fertility, only to see him raised from the dead with the help of Baal's sister, Anat.
Raphael	One of the four major archangels, his name means "healer." He recites the history of the fallen angels and the creation of Adam and Eve.
Scathach	A warrior woman of the Land of Shadows in Celtic lore. She taught the hero, Cu Chulainn, the art of war and gave him the spear, Gae Bolg.
High Pixie	The leader of a swarm of pixies. Any pixie in a leadership role or with remarkable power is called by this name.
Barong	A mystical creature in Balinese lore, it represents good and is Rangda's eternal rival. Even if defeated, it will be reborn. The result is a never-ending struggle...
Girimehkala	A giant elephant monster of Sri Lankan myth, it is typically portrayed as being ridden by the Evil One, Mara. Whoever looks into its evil eye is said to be met with misfortune.
King Frost	The king of snow who rules over an infinite number of Jack Frosts. He has the power to freeze the entire world, but is unaware of it due to his naive personality.
Narcissus	A young man of Greek myth. He rejected the nymph Echo, who faded to a whisper out of despair. Cursed by Nemesis, he fell in love with his own reflection and wasted away.
Isis	Osiris's wife as well as his younger sister. Upon the death of her husband, she revived him with her incredible magic power. Isis is seen at many gravesites as the guardian goddess of the dead.
Lamia	A serpentine woman of Greek myth, she was once the queen of Libya. Zeus's jealous wife, Hera, killed her children, causing her to go mad and transform into a monster.
Legion	The spirit who said, "For we are many," in ancient scriptures. The name comes from the Roman military term for an army unit of 3,000 to 6,000 men.
Rakshasa	A Hindu demon. He is an enemy of the gods and attacks humans to feed off of them. His hideous appearance strikes fear into those who see him. Rakshasa shape-shifts to deceive his enemies.
Mokoi	Evil spirits of Murngin lore believed to be reborn shadows. They kidnap and eat children, and strike down any sorcerer who uses black magic.
Forneus	One of the 72 demons of the Goetia, he appears as a great sea monster. Known as the great Marquis of Hell, he is skilled linguistically, and is a master of rhetoric.
Setanta	A brave young man in Celtic myth. After defeating a fierce guard dog, he volunteered to take its place, earning him the nickname "Hound of Culann."
Titania	The queen of the fairies and Oberon's wife. She is derived from the Roman goddess Diana. She was later immortalized in Shakespeare's play "A Midsummer Night's Dream."
Incubus	A male demon of European lore in medieval times. They visit sleeping women and have sexual intercourse with them. The resulting children become witches or wizards.
Oni	An evil monster from Japanese lore known for its hideous appearance and brute strength. They loot and plunder villages, massacring the townspeople with their iron clubs.
Lilith	Said to have been Adam's first wife, she desired to be his equal and refused to obey him. She was cast out of Eden and became a demon of the night. She is the mother of the demoness, Lilim.
Rangda	A wicked witch of Balinese lore, she represents evil and is Barong's eternal rival. Even if defeated, she will come back to life, and their battle will have no end.
Makami	A divine wolf god in Japanese folklore, also written as "Oguchi-no-Magami." It is often drawn on prayer boards to prevent fires and thefts, but it is also feared as a human-eater.
Parvati	A beautiful Hindu goddess of love and one of Shiva's wives. Always by his side, she played a role in opening his third eye. She can turn into Durga or Kali when angered.
Gabriel	One of the four major archangels. She is also the only female angel at this rank. Her name comes from the Sumerian word for "governor." She is the angel who told Mary of her pregnancy.
Zaou-Gongen	Repeller of evil found at Kinpusen by En-no-Ozunu. Believed to be a fusion of Buddha, Guanyin, and Maitreya, he is a god who originated from Japan rather than the Buddhavacana.
Alice	A mysterious blonde girl. She is quite powerful, despite her looks. Some say she is the ghost of a girl who died a sad death. Others say she is a spirit born from someone's imagination.
Kali	A goddess of death and destruction. She is said to be another face of Parvati. She is violent, wears a string of skulls, and carries bloody weapons, but she also blesses her followers.
Kurama Tengu	A type of tengu said to have lived on Mt. Kurama in Kyoto. The most powerful and well-known of the tengu, they have the power to fend off disease and bring good fortune.
Oberon	The king of the fairies and Titania's husband. He is quite old, but due to a curse, his looks are that of a young boy. He often flirts with human women, ending in a scolding from his wife.
Shiki-Ouji	An exceptionally powerful shikigami. Only the most elite onmyoji are able to summon and bind it to paper. It can ward off disaster or cure illness, but its ordinary temperament is quite vicious.
Yamata-no-Orochi	A giant snake with eight heads that Susano-o defeated to save Kushinada-Hime. The legendary sword Ame-no-Murakumo-no- Tsurugi, also known as the "Sword of Kusanagi," emerged from its belly.
Orobas	One of the 72 demons of the Goetia. Known as the Prince of Hell, he appears as a horse and answers questions of the past, present, and future. He is faithful to his conjurer.
Hanuman	A monkey god of Hindu descent. His father is Vayu, the wind god. Extremely nimble, he performed many heroic deeds in the Ramayana. He is powerful, can fly, and can change his shape into many forms.
Archangel	Eighth of the nine orders of angels. Their duty is to minister to humans and deliver messages. They are warriors of Heaven and lead Heaven's forces during battle with the armies of evil.
Obariyon	A "piggyback monster" of Japan that jumps on the backs of those who pass grassy paths. It is heavy and not easily removed, but will turn into gold coins if you can carry it back home.
Queen Mab	The fairy queen in Celtic myth. Often identified with Titania. She would offer mead mixed with her blood to her many consorts.
Sandalphon	Metatron's twin brother in Judeo- Christian lore, he is the master of heavenly songs. It is said that a human would take 500 years to walk the length of his body.
Abaddon	The "Destroyer" and "Angel of the Bottomless Pit," as described in ancient scriptures. He controls locusts and uses them to cause massive destruction to villages.
Shiisaa	A holy beast said to protect houses from evil and bring good fortune. They look similar to Shinto guardian dogs, but are actually modeled after a lion. There are many stories about it in Ryukyu lore.
Sandman	A fairy in German folklore who carries a bag of magical sand, which puts humans to sleep when thrown into their eyes. If the victim resists, the Sandman will sit on their eyelids.
Belial	One of the 72 demons of the Goetia. He led Sodom and Gomorrah to ruin and persecuted Jesus. He grants high social status to those who summon him.
Leanan Sidhe	A beautiful fairy of Irish lore that yearns for the love of a human man. She drains the life of her lovers in return for granting them artistic inspiration.
Cybele	The Phrygian mother goddess of the earth, she is often depicted with wild animals, and lions in particular. She had her priest, Attis, as a lover, but drove him insane when he was forced to marry another.
Chernobog	A cursed god of death, evil, and the night in Slavic lore. His name means "Black God," and he is the counterpart of the "White God," Belobog. Despite being feared, he was also worshipped.
Flauros	One of the 72 demons of the Goetia. He appears as a leopard and can see the past and future. He can control fire and burn all his adversaries to death.
Ippon-Datara	A one-eyed, one- legged monster said to live deep in the mountains of Kumano, Japan. It's believed to be the degraded blacksmith god, Ame no Me- Hitotsu no Kami.
Orthrus	The two-headed pet dog belonging to the giant, Geryon, in Greek myth. He guarded a herd of red oxen, but was killed by Hercules during one of his twelve labors.
Succubus	A female demon of European lore in medieval times. They visit sleeping men and have sexual intercourse with them. The victims don't wake up but may dream of the encounter.
Mothman	A cryptid sighted during the 60s-80s in West Virginia. It has shining red eyes and is named for the fin-like appendages on its sides. It uses its keen sense for blood to track down the source and feed on it.
RESERVE	Taira no Masakado, hero of the Heian period. He claimed the title "Shinno" (New Emperor) and rebelled against the government. He was killed, but it is said he became a demigod.
