en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
P4G Yasogami High Costume Set	Ｐ４Ｇ　八十神高等学校コスチュームセット	P4G 야소가미 고등학교 의상 세트	Ｐ４Ｇ　八十神高级中学服装组合	Ｐ４Ｇ　八十神高級中學服裝套組	P4G Yasogami High Kostüm-Set	Conjunto de atuendos del Instituto Yasogami (P4G)	Lot d'uniformes du lycée Yasogami (P4G)	Set di costumi liceo Yasogami P4G	P4G: zestaw kostiumów z liceum Yasogami	Conjunto Uniformes do Yasogami P4G	Набор костюмов школы Ясогами из P4G	P4G Yasogami Lisesi Kostüm Seti
P5R Shujin Academy Costume Set	Ｐ５Ｒ　秀尽学園高校コスチュームセット	P5R 슈진 고등학교 의상 세트	Ｐ５Ｒ　秀尽学园高中服装组合	Ｐ５Ｒ　秀盡學園高級中學服裝套組	P5R Shujin-Akademie Kostüm-Set	Conjunto de atuendos del Instituto Shujin (P5R)	Lot d'uniformes de la Shujin Academy (P5R)	Set di costumi Shujin Academy P5R	P5R: zestaw kostiumów z Akademii Shujin	Conjunto Uniformes da Shujin P5R	Набор костюмов академии Сюдзин из P5R	P5R Shujin Akademisi Kostüm Seti
P5R Phantom Thieves Costume Set	Ｐ５Ｒ　怪盗団コスチュームセット	P5R 괴도단 의상 세트	Ｐ５Ｒ　怪盗团服装组合	Ｐ５Ｒ　怪盜團服裝套組	P5R Phantomdiebe Kostüm-Set	Conjunto de atuendos de los Ladrones Fantasma (P5R)	Lot de tenues des Voleurs fantômes (P5R)	Set di costumi Ladri Fantasma P5R	P5R: zestaw kostiumów widmowych złodziei	Conjunto Trajes dos Ladrões-Fantasma P5R	Набор костюмов Призрачных похитителей из P5R	P5R Hayalet Hırsız Kostüm Seti
P5R Persona Set 1	Ｐ５Ｒ　ペルソナセット１	P5R 페르소나 세트 1	Ｐ５Ｒ　人格面具组合１	Ｐ５Ｒ　人格面具套組１	P5R - Personaset 1	Paquete 1 de Personas de P5R	Ensemble Persona 1 (P5R)	Set Persona P5R 1	P5R: zestaw Person z gry nr 1	Conjunto Personas P5R 1	Первый набор Персон из P5R	P5R Persona 1. Set
P5R Persona Set 2	Ｐ５Ｒ　ペルソナセット２	P5R 페르소나 세트 2	Ｐ５Ｒ　人格面具组合２	Ｐ５Ｒ　人格面具套組２	P5R - Personaset 2	Paquete 2 de Personas de P5R	Ensemble Persona 2 (P5R)	Set Persona P5R 2	P5R: zestaw Person z gry nr 2	Conjunto Personas P5R 2	Второй набор Персон из P5R	P5R Persona 2. Set
P4G Persona Set	Ｐ４Ｇ　ペルソナセット	P4G 페르소나 세트	Ｐ４Ｇ　人格面具组合	Ｐ４Ｇ　人格面具套組	P4G - Personaset	Paquete de Personas de P4G	Ensemble Persona (P4G)	Set Persona P4G	P4G: zestaw Person z gry	Conjunto Personas P4G	Набор Персон из P4G	P4G Persona Seti
P4G BGM Set	Ｐ４Ｇ　ＢＧＭセット	P4G BGM 세트	Ｐ４Ｇ　ＢＧＭ组合	Ｐ４Ｇ　ＢＧＭ套組	P4G - HGM-Set	Paquete de música de fondo de P4G	Ensemble musique P4G	Set musica P4G	P4G: zestaw muzyki w tle z gry	Conjunto MF P4G	Набор фоновой музыки из P4G	P4G Arka Plan Müziği Seti
P5R BGM Set	Ｐ５Ｒ　ＢＧＭセット	P5R BGM 세트	Ｐ５Ｒ　ＢＧＭ组合	Ｐ５Ｒ　ＢＧＭ套組	P5R - HGM-Set	Paquete de música de fondo de P5R	Ensemble musique P5R	Set musica P5R	P5R: zestaw muzyki w tle z gry	Conjunto MF P5R	Набор фоновой музыки из P5R	P5R Arka Plan Müziği Seti
Exploration Item Set	探索お役立ちアイテムセット	탐색에 유용한 아이템 세트	探索助力道具组合	探索支援道具組合包	Erkundungsitem-Set	Conjunto de objetos para explorar	Lot d'objets pour l'exploration	Set di oggetti per l'esplorazione	Zestaw przedmiotów do eksploracji	Conjunto Itens de Exploração	Набор полезных для исследования предметов	Keşif Öğesi Seti
P4G EX BGM Set	Ｐ４Ｇ　ＥＸ　ＢＧＭセット	P4G EX BGM 세트	Ｐ４Ｇ　ＥＸ　ＢＧＭ组合	Ｐ４Ｇ　ＥＸ　ＢＧＭ套組	P4G - EX-HGM-Set	Paquete de música de fondo de P4G EXTRA	Ensemble musique P4G (Extra)	Set extra musica di P4G	P4G: dodatkowy zestaw muzyki w tle z gry	Conjunto MF EX P4G	Набор фоновой музыки+ из P4G	P4G EX Arka Plan Müziği Seti
