id	EN	JA	ZH	CH	DE	ES	FR	IT
AISYO_L0000	Physical	物理	物理	物理	Körperlich	Físico	Physique	Fisico
AISYO_L0001	Gun	ガン	枪	槍械	Waffe	Arma a distancia	Arme à feu	Pistola
AISYO_L0002	Fire	火炎	火焰	火焰	Feuer	Fuego	Feu	Fuoco
AISYO_L0003	Ice	氷結	冰冻	冰凍	Eis	Hielo	Glace	Ghiaccio
AISYO_L0004	Electric	電撃	电击	電擊	Elektrisch	Electricidad	Foudre	Elettricità
AISYO_L0005	Force	衝撃	冲击	衝擊	Kraft	Fuerza	Force	Forza
AISYO_L0006	Death	呪殺	咒杀	咒殺	Tod	Muerte	Mort	Morte
AISYO_L0007	Mind	精神	精神	精神	Verstand	Mente	Mental	Mente
AISYO_L0008	ER100	ER100	万能	萬能	ER100	ER100	ER100	ER100
AISYO_L0009	Heal	回復	恢复	恢復	Heilen	Cura	Soigner	Cura
AISYO_L0010	Sword	刀	刀	刀刃	Schwert	Espada	Épée	Spada
