id	en	jp	cn	tw	ko	gr	es	fr	it
ITEMKEYNAME_00	Bloody Key	血まみれの鍵	沾满血迹的钥匙	染血的鑰匙	피투성이 열쇠	Blutiger Schlüssel	Llave ensangrentada	Clé ensanglantée	Chiave insanguinata
ITEMKEYNAME_01	Dirty Key	汚れた鍵	脏兮兮的钥匙	骯髒的鑰匙	더러운 열쇠	Dreckiger Schlüssel	Llave sucia	Clé salie	Chiave sporca
ITEMKEYNAME_02	Red Cardkey	赤いカードキー	红色磁卡	紅色鑰匙卡	빨간 카드키	Rote Schlüsselkarte	Tarjeta roja	Carte d'accès rouge	Tessera rossa
ITEMKEYNAME_03	Blue Cardkey	青いカードキー	蓝色磁卡	藍色鑰匙卡	파란 카드키	Blaue Schlüsselkarte	Tarjeta azul	Carte d'accès bleue	Tessera blu
ITEMKEYNAME_04	White Cardkey	白いカードキー	白色磁卡	白色鑰匙卡	하얀 카드키	Weiße Schlüsselkarte	Tarjeta blanca	Carte d'accès blanche	Tessera bianca
ITEMKEYNAME_05	Green Cardkey	緑のカードキー	绿色磁卡	綠色鑰匙卡	녹색 카드키	Grüne Schlüsselkarte	Tarjeta verde	Carte d'accès verte	Tessera verde
ITEMKEYNAME_06	Sunlight Key	日の光の鍵	日光钥匙	日光鑰匙	햇빛 열쇠	Sonnenlichtschlüssel	Tarjeta solar	Clé soleil	Chiave luce del sole
ITEMKEYNAME_07	Moonlight Key	月明りの鍵	月明钥匙	月明鑰匙	달빛 열쇠	Mondlichtschlüssel	Tarjeta lunar	Clé lune	Chiave chiaro di luna
ITEMKEYNAME_08	Memory Fragment	記憶のフラグメント	记忆碎片	記憶碎片	기억의 파편	Erinnerungsfragment	Fragmento de recuerdo	Fragment de souvenir	Frammento di ricordo
ITEMKEYNAME_09	キーアイテム009	キーアイテム009	关键道具009	關鍵道具009	중요 아이템009	キーアイテム009	キーアイテム009	キーアイテム009	キーアイテム009
ITEMKEYNAME_10	キーアイテム010	キーアイテム010	关键道具010	關鍵道具010	중요 아이템010	キーアイテム010	キーアイテム010	キーアイテム010	キーアイテム010
ITEMKEYNAME_11	キーアイテム011	キーアイテム011	关键道具011	關鍵道具011	중요 아이템011	キーアイテム011	キーアイテム011	キーアイテム011	キーアイテム011
ITEMKEYNAME_12	キーアイテム012	キーアイテム012	关键道具012	關鍵道具012	중요 아이템012	キーアイテム012	キーアイテム012	キーアイテム012	キーアイテム012
ITEMKEYNAME_13	キーアイテム013	キーアイテム013	关键道具013	關鍵道具013	중요 아이템013	キーアイテム013	キーアイテム013	キーアイテム013	キーアイテム013
ITEMKEYNAME_14	キーアイテム014	キーアイテム014	关键道具014	關鍵道具014	중요 아이템014	キーアイテム014	キーアイテム014	キーアイテム014	キーアイテム014
ITEMKEYNAME_15	キーアイテム015	キーアイテム015	关键道具015	關鍵道具015	중요 아이템015	キーアイテム015	キーアイテム015	キーアイテム015	キーアイテム015
ITEMKEYNAME_16	キーアイテム016	キーアイテム016	关键道具016	關鍵道具016	중요 아이템016	キーアイテム016	キーアイテム016	キーアイテム016	キーアイテム016
ITEMKEYNAME_17	キーアイテム017	キーアイテム017	关键道具017	關鍵道具017	중요 아이템017	キーアイテム017	キーアイテム017	キーアイテム017	キーアイテム017
ITEMKEYNAME_18	キーアイテム018	キーアイテム018	关键道具018	關鍵道具018	중요 아이템018	キーアイテム018	キーアイテム018	キーアイテム018	キーアイテム018
ITEMKEYNAME_19	キーアイテム019	キーアイテム019	关键道具019	關鍵道具019	중요 아이템019	キーアイテム019	キーアイテム019	キーアイテム019	キーアイテム019
ITEMKEYNAME_20	Bloody COMP	血まみれのCOMP	沾满血迹的COMP	染血的COMP	피투성이 COMP	Blutiges COMP	COMP ensangrentada	COMP ensanglanté	COMP insanguinato
ITEMKEYNAME_21	Superhero Merch	変身グッズ	变身道具	變身周邊	변신 굿즈	Superheldenfigur	Juguete de superhéroe	Figurine de superhéros	Giocattolo del supereroe
ITEMKEYNAME_22	Eliza's Necklace	エリザのネックレス	艾丽莎的项链	艾莉莎的項鍊	엘리자의 목걸이	Elizas Halskette	Collar de Eliza	Collier d'Eliza	Collana di Eliza
ITEMKEYNAME_23	Eliza's Earring	エリザのイヤリング	艾丽莎的耳环	艾莉莎的耳環	엘리자의 귀걸이	Elizas Ohrring	Pendiente de Eliza	Boucle d'oreille d'Eliza	Orecchino di Eliza
ITEMKEYNAME_24	Red Full-Body Tights	真っ赤な全身タイツ	鲜红的连体紧身衣	鮮紅色的全身緊身衣	새빨간 전신 타이츠	Knallroter Ganzkörperanzug	Medias rojas	Combinaison près du corps rouge	Tuta aderente rossa
ITEMKEYNAME_25	Brightsoul	ブライトソウル	闪亮之魂	閃耀靈魂	브라이트 소울	Seelenglanz	Brillalma	Âméclat	Anima luminosa
ITEMKEYNAME_26	Teruya's Love Letter	テルヤのラブレター	辉也的情书	輝也的情書	테루야의 러브레터	Teruyas Liebesbrief	Carta de amor de Teruya	Lettre d'amour de Teruya	Lettera d'amore di Teruya
ITEMKEYNAME_27	Broken Wristwatch	壊れた腕時計	损坏的手表	損壞的手錶	망가진 손목시계	Kaputte Armbanduhr	Reloj roto	Montre cassée	Orologio da polso rotto
ITEMKEYNAME_28	Eliza's Brooch	エリザのブローチ	艾丽莎的胸针	艾莉莎的胸針	엘리자의 브로치	Elizas Brosche	Broche de Eliza	Broche d'Eliza	Spilla di Eliza
ITEMKEYNAME_29	Sword of Holy Light	聖なる光の剣	圣光之剑	聖光之劍	성스러운 빛의 검	Schwert des Heiligen Lichts	Espada de luz bendita	Épée de la Lumière sacrée	Spada della luce sacra
ITEMKEYNAME_30	Blade of Ruin	破壊の刃	破坏之刃	破壞之刃	파괴의 칼날	Klinge des Ruins	Espada de la ruina	Lame de la Ruine	Lama della rovina
ITEMKEYNAME_31	Younger Brother's Present	弟へのプレゼント	给弟弟的礼物	給弟弟的禮物	동생에게 주는 선물	Geschenk des kleinen Bruders	Regalo	Cadeau du petit frère	Regalo per il fratello
ITEMKEYNAME_32	Time Bomb	時限爆弾	定时炸弹	定時炸彈	시한폭탄	Zeitbombe	Bomba de relojería	Bombes à retardement	Bombe a tempo
ITEMKEYNAME_33	Family Photo	思い出の家族写真	充满回忆的家庭合影	充滿回憶的全家福	추억의 가족사진	Familienfoto	Foto de familia	Photo de famille	Foto di famiglia
ITEMKEYNAME_34	Sealing Talisman	魔封じのお札	封魔符纸	封魔符咒	마봉의 부적	Siegeltalisman	Talismán sellador	Talisman de scellement	Talismano
ITEMKEYNAME_35	Research Notebook	研究ノート	研究笔记	研究筆記	연구 노트	Forschungsnotizen	Libreta científica	Carnet de recherches	Quaderno della ricerca
ITEMKEYNAME_36	Waning Moon Charm	下弦の護符	下弦护符	下弦的護符	하현의 부적	Abnehmender-Mond-Anhänger	Amuleto luna menguante	Charme de lune décroissante	Amuleto luna calante
ITEMKEYNAME_37	Waxing Moon Charm	上弦の護符	上弦护符	上弦的護符	상현의 부적	Zunehmender-Mond-Anhänger	Amuleto luna creciente	Charme de lune croissante	Amuleto luna crescente
ITEMKEYNAME_38	Daikokuten Sake	大黒天の御神酒	大黑天的神酒	大黑天的神酒	대흑천의 신주	Daikokuten-Sake	Sake de Daikokuten	Saké de Daikokuten	Sake di Daikokuten
ITEMKEYNAME_39	Empty Wallet	空っぽの財布	空空如也的钱包	乾癟的錢包	텅 빈 지갑	Leere Geldbörse	Monedero vacío	Portefeuille vide	Portafogli vuoto
ITEMKEYNAME_40	Gen Mayumi's Journal	舞弓ゲンの日記	舞弓弦的日记	舞弓弦的日記	마유미 겐의 일기	Gen Mayumis Notizbuch	Diario de Gen Mayumi	Journal de Gen Mayumi	Diario di Gen Mayumi
ITEMKEYNAME_41	キーアイテム041	キーアイテム041	关键道具041	關鍵道具041	중요 아이템041	キーアイテム041	キーアイテム041	キーアイテム041	キーアイテム041
ITEMKEYNAME_42	キーアイテム042	キーアイテム042	关键道具042	關鍵道具042	중요 아이템042	キーアイテム042	キーアイテム042	キーアイテム042	キーアイテム042
ITEMKEYNAME_43	キーアイテム043	キーアイテム043	关键道具043	關鍵道具043	중요 아이템043	キーアイテム043	キーアイテム043	キーアイテム043	キーアイテム043
ITEMKEYNAME_44	キーアイテム044	キーアイテム044	关键道具044	關鍵道具044	중요 아이템044	キーアイテム044	キーアイテム044	キーアイテム044	キーアイテム044
ITEMKEYNAME_45	キーアイテム045	キーアイテム045	关键道具045	關鍵道具045	중요 아이템045	キーアイテム045	キーアイテム045	キーアイテム045	キーアイテム045
ITEMKEYNAME_46	キーアイテム046	キーアイテム046	关键道具046	關鍵道具046	중요 아이템046	キーアイテム046	キーアイテム046	キーアイテム046	キーアイテム046
ITEMKEYNAME_47	キーアイテム047	キーアイテム047	关键道具047	關鍵道具047	중요 아이템047	キーアイテム047	キーアイテム047	キーアイテム047	キーアイテム047
ITEMKEYNAME_48	キーアイテム048	キーアイテム048	关键道具048	關鍵道具048	중요 아이템048	キーアイテム048	キーアイテム048	キーアイテム048	キーアイテム048
ITEMKEYNAME_49	キーアイテム049	キーアイテム049	关键道具049	關鍵道具049	중요 아이템049	キーアイテム049	キーアイテム049	キーアイテム049	キーアイテム049
ITEMKEYNAME_50	Record Player	レコードプレイヤー	留声机	黑膠唱片播放器	레코드 플레이어	Plattenspieler	Tocadiscos	Lecteur de disques	Giradischi
ITEMKEYNAME_51	Empty Protein Package	プロテインの空容器	空的蛋白粉容器	空的蛋白粉容器	텅 빈 프로틴 용기	Leerer Protein-Behälter	Batido proteínas vacío	Paquet de protéine vide	Pacchetto di proteine vuoto
ITEMKEYNAME_52	Black Soccer Ball	黒いサッカーボール	黑色的足球	黑色足球	검은 축구공	Schwarzer Fußball	Balón de fútbol negro	Ballon noir	Pallone da calcio nero
ITEMKEYNAME_53	Vintage Wine	ヴィンテージワイン	古酿葡萄酒	陳年葡萄酒	빈티지 와인	Alter Wein	Vino añejo	Vin ancien	Vino d'annata
ITEMKEYNAME_54	Fukakusa Shuriken	深草土産の手裏剣	深草特产手里剑	深草伴手禮的手裏劍	후카쿠사 기념품 수리검	Fukakusa Shuriken	Shuriken de Fukakusa	Shuriken de Fukakusa	Shuriken di Fukakusa
ITEMKEYNAME_55	Psychological Test Book	心理テストの本	心理测试书	心理測驗書籍	심리 테스트 책	Buch mit Psychotests	Libro de psicología	Questionnaire de psychologie	Libro di psicologia
ITEMKEYNAME_56	Sketch Comedy Book	漫才のネタ帳	相声段子手册	漫才段子筆記	유머 모음집	Witzebuch	Libro de comedia	Livre de blagues	Libro di sketch comici
ITEMKEYNAME_57	Mysterious Transceiver	謎の通信機	神秘的通讯器	神秘通訊器	수상한 통신기	Mysteriöser Sendeempfänger	Transceptor misterioso	Transpondeur mystérieux	Ricetrasmettitore misterioso
ITEMKEYNAME_58	Artificial Sakura Flowers	桜の造花	仿真樱花	人造櫻花	벚꽃 조화	Künstliche Sakura-Blüten	Flores artificiales	Fleurs de cerisier synthétiques	Fiori di ciliegio artificiali
ITEMKEYNAME_59	Portable Gaming Device	携帯型ゲーム機	便携式游戏机	掌上型遊戲機	휴대용 게임기	Tragbares Spielegerät	Consola portátil	Console portable	Console di gioco portatile
ITEMKEYNAME_60	キーアイテム060	キーアイテム060	关键道具060	關鍵道具060	중요 아이템060	キーアイテム060	キーアイテム060	キーアイテム060	キーアイテム060
ITEMKEYNAME_61	キーアイテム061	キーアイテム061	关键道具061	關鍵道具061	중요 아이템061	キーアイテム061	キーアイテム061	キーアイテム061	キーアイテム061
ITEMKEYNAME_62	キーアイテム062	キーアイテム062	关键道具062	關鍵道具062	중요 아이템062	キーアイテム062	キーアイテム062	キーアイテム062	キーアイテム062
ITEMKEYNAME_63	キーアイテム063	キーアイテム063	关键道具063	關鍵道具063	중요 아이템063	キーアイテム063	キーアイテム063	キーアイテム063	キーアイテム063
ITEMKEYNAME_64	キーアイテム064	キーアイテム064	关键道具064	關鍵道具064	중요 아이템064	キーアイテム064	キーアイテム064	キーアイテム064	キーアイテム064
ITEMKEYNAME_65	キーアイテム065	キーアイテム065	关键道具065	關鍵道具065	중요 아이템065	キーアイテム065	キーアイテム065	キーアイテム065	キーアイテム065
ITEMKEYNAME_66	キーアイテム066	キーアイテム066	关键道具066	關鍵道具066	중요 아이템066	キーアイテム066	キーアイテム066	キーアイテム066	キーアイテム066
ITEMKEYNAME_67	キーアイテム067	キーアイテム067	关键道具067	關鍵道具067	중요 아이템067	キーアイテム067	キーアイテム067	キーアイテム067	キーアイテム067
ITEMKEYNAME_68	キーアイテム068	キーアイテム068	关键道具068	關鍵道具068	중요 아이템068	キーアイテム068	キーアイテム068	キーアイテム068	キーアイテム068
ITEMKEYNAME_69	キーアイテム069	キーアイテム069	关键道具069	關鍵道具069	중요 아이템069	キーアイテム069	キーアイテム069	キーアイテム069	キーアイテム069
ITEMKEYNAME_70	Chain Crystaloid Alpha	鎖状結晶体アルファ	锁状结晶体α	鎖狀結晶體Alpha	사슬형 결정체 알파	Kettenkristalloid Alpha	Cristal de cadena alfa	Chaîne Cristalloïde Alpha	Cristalloide a catena Alfa
ITEMKEYNAME_71	Chain Crystaloid Beta	鎖状結晶体ベータ	锁状结晶体β	鎖狀結晶體Beta	사슬형 결정체 베타	Kettenkristalloid Beta	Cristal de cadena beta	Chaîne Cristalloïde Bêta	Cristalloide a catena Beta
ITEMKEYNAME_72	Chain Crystaloid Gamma	鎖状結晶体ガンマ	锁状结晶体γ	鎖狀結晶體Gamma	사슬형 결정체 감마	Kettenkristalloid Gamma	Cristal de cadena gamma	Chaîne Cristalloïde Gamma	Cristalloide a catena Gamma
ITEMKEYNAME_73	Chain Crystaloid Delta	鎖状結晶体デルタ	锁状结晶体δ	鎖狀結晶體Delta	사슬형 결정체 델타	Kettenkristalloid Delta	Cristal de cadena delta	Chaîne Cristalloïde Delta	Cristalloide a catena Delta
ITEMKEYNAME_74	Chain Crystaloid Epsilon	鎖状結晶体イプシロン	锁状结晶体ε	鎖狀結晶體Epsilon	사슬형 결정체 엡실론	Kettenkristalloid Epsilon	Cristal de cadena épsilon	Chaîne Cristalloïde Epsilon	Cristalloide a catena Epsilon
ITEMKEYNAME_75	Needle Crystaloid Alpha	針状結晶体アルファ	针状结晶体α	針狀結晶體Alpha	바늘형 결정체 알파	Nadelkristalloid Alpha	Cristal de aguja alfa	Aiguille Cristalloïde Alpha	Cristalloide ad ago Alfa
ITEMKEYNAME_76	Needle Crystaloid Beta	針状結晶体ベータ	针状结晶体β	針狀結晶體Beta	바늘형 결정체 베타	Nadelkristalloid Beta	Cristal de aguja beta	Aiguille Cristalloïde Bêta	Cristalloide ad ago Beta
ITEMKEYNAME_77	Needle Crystaloid Gamma	針状結晶体ガンマ	针状结晶体γ	針狀結晶體Gamma	바늘형 결정체 감마	Nadelkristalloid Gamma	Cristal de aguja gamma	Aiguille Cristalloïde Gamma	Cristalloide ad ago Gamma
ITEMKEYNAME_78	Needle Crystaloid Delta	針状結晶体デルタ	针状结晶体δ	針狀結晶體Delta	바늘형 결정체 델타	Nadelkristalloid Delta	Cristal de aguja delta	Aiguille Cristalloïde Delta	Cristalloide ad ago Delta
ITEMKEYNAME_79	Needle Crystaloid Epsilon	針状結晶体イプシロン	针状结晶体ε	針狀結晶體Epsilon	바늘형 결정체 엡실론	Nadelkristalloid Epsilon	Cristal de aguja épsilon	Aiguille Cristalloïde Epsilon	Cristalloide ad ago Epsilon
ITEMKEYNAME_80	Orb Crystaloid Alpha	球状結晶体アルファ	球状结晶体α	球狀結晶體Alpha	구형 결정체 알파	Kugelkristalloid Alpha	Cristal de orbe alfa	Orbe Cristalloïde Alpha	Cristalloide a sfera Alfa
ITEMKEYNAME_81	Orb Crystaloid Beta	球状結晶体ベータ	球状结晶体β	球狀結晶體Beta	구형 결정체 베타	Kugelkristalloid Beta	Cristal de orbe beta	Orbe Cristalloïde Bêta	Cristalloide a sfera Beta
ITEMKEYNAME_82	Orb Crystaloid Gamma	球状結晶体ガンマ	球状结晶体γ	球狀結晶體Gamma	구형 결정체 감마	Kugelkristalloid Gamma	Cristal de orbe gamma	Orbe Cristalloïde Gamma	Cristalloide a sfera Gamma
ITEMKEYNAME_83	Orb Crystaloid Delta	球状結晶体デルタ	球状结晶体δ	球狀結晶體Delta	구형 결정체 델타	Kugelkristalloid Delta	Cristal de orbe delta	Orbe Cristalloïde Delta	Cristalloide a sfera Delta
ITEMKEYNAME_84	Orb Crystaloid Epsilon	球状結晶体イプシロン	球状结晶体ε	球狀結晶體Epsilon	구형 결정체 엡실론	Kugelkristalloid Epsilon	Cristal de orbe épsilon	Orbe Cristalloïde Epsilon	Cristalloide a sfera Epsilon
ITEMKEYNAME_85	キーアイテム085	キーアイテム085	关键道具085	關鍵道具085	중요 아이템085	キーアイテム085	キーアイテム085	キーアイテム085	キーアイテム085
ITEMKEYNAME_86	キーアイテム086	キーアイテム086	关键道具086	關鍵道具086	중요 아이템086	キーアイテム086	キーアイテム086	キーアイテム086	キーアイテム086
