en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Fool	愚者	광대	愚者	愚者	Narr	del Loco	Le Mat	Matto	Głupiec	Louco	Шут	Joker
Magician	魔術師	마술사	魔术师	魔術師	Magier	del Mago	Le Bateleur	Mago	Kuglarz	Mago	Маг	Büyücü
Priestess	女教皇	여법황	女教皇	女教皇	Hohepriesterin	de la Sacerdotisa	La Papesse	Papessa	Kapłanka	Sacerdotisa	Верховная жрица	Azize
Empress	女帝	여황제	女皇	女皇	Herrscherin	Emperatriz	L'Impératrice	Imperatrice	Cesarzowa	Imperatriz	Императрица	İmparatoriçe
Emperor	皇帝	황제	皇帝	皇帝	Herrscher	Emperador	L'Empereur	Imperatore	Cesarz	Imperador	Император	İmparator
Hierophant	法王	법황	教皇	教皇	Hierophant	del Hierofante	Le Pape	Ierofante	Kapłan	Hierofante	Верховный жрец	Aziz
Lovers	恋愛	연인	恋爱	戀愛	Liebende	de los Amantes	L'Amoureux	Amanti	Kochankowie	Enamorados	Влюбленные	Aşıklar
Chariot	戦車	전차	战车	戰車	Wagen	del Carro	Le Chariot	Carro	Rydwan	Carro	Колесница	Araba
Justice	正義	정의	正义	正義	Gerechtigkeit	de la Justicia	La Justice	Giustizia	Sprawiedliwość	Justiça	Правосудие	Adalet
Hermit	隠者	은둔자	隐者	隱士	Eremit	del Ermitaño	L'Hermite	Eremita	Eremita	Eremita	Отшельник	Ermiş
Fortune	運命	운명	命运	命運	Omikuji	Fortuna	La Roue de Fortune	Divinazione	Przepowiednia	Sorte	Предсказание	Kader Çarkı
Strength	剛毅	힘	力量	力量	Stärke	de la Fuerza	La Force	Forza	Siła	Força	Сила	Güç
Hanged	刑死者	사형수	倒悬者	倒懸者	Gehängter	del Ahorcado	Le Pendu	Appeso	Wisielec	Enforcado	Повешенный	Asılan Adam
Death	死神	사신	死神	死神	Tod	de la Muerte	La Mort	Morte	Śmierć	Morte	Смерть	Ölüm
Temperance	節制	절제	节制	節制	Mäßigkeit	de la Templanza	La Tempérance	Temperanza	Powściągliwość	Temperança	Умеренность	Denge
Devil	悪魔	악마	恶魔	惡魔	Teufel	del Diablo	Le Diable	Diavolo	Diabeł	Diabo	Дьявол	Şeytan
Tower	塔	탑	塔	塔	Turm	de la Torre	La Maison Dieu	Torre	Wieża	Torre	Башня	Kule
Star	星	별	星	星星	Stern	de la Estrella	L'Étoile	Stella	Gwiazda	Estrela	Звезда	Yıldız
Moon	月	달	月亮	月亮	Mond	de la Luna	La Lune	Luna	Księżyc	Lua	Луна	Ay
Sun	太陽	태양	太阳	太陽	Sonne	del Sol	Le Soleil	Sole	Słońce	Sol	Солнце	Güneş
Judgement	審判	심판	审判	審判	Gericht	del Juicio	Le Jugement	Giudizio	Sąd Ostateczny	Julgamento	Суд	Mahkeme
Aeon	永劫	영겁	永劫	永劫	Äon	del Eón	L'Éon	Eone	Eon	Éon	Эон	Sonsuzluk
Other	その他	기타	其他	其他	Anderes	Otro	Autre	Altro	Inna	Outro	Прочее	Diğer
Universe	世界	세계	世界	世界	Welt	del Mundo	Le Monde	Mondo	Świat	Mundo	Мир	Dünya
