en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Inutilizzato	Unused	Não usado	Не используется	Kullanılmıyor
Medicine	傷薬	치료약	伤药	傷藥	Heilmittel	Medicina	Médicament	Medicina	Lekarstwo	Remédio	Лекарство	İlaç
Medical Powder	メディカルパウダー	메디컬 파우더	医疗药粉	軟膏藥	Heilpulver	Polvo medicinal	Poudre médicinale	Polvere curativa	Leczniczy proszek	Pó Medicinal	Целебный порошок	İyileştirici Toz
Bead	宝玉	보옥	宝玉	寶玉	Heilperle	Abalorio	Perle	Perlina	Koralik	Conta	Бусина	Boncuk
Bead Chain	宝玉輪	보옥륜	宝玉环	寶玉輪	Perlenkette	Cadena de abalorios	Chaîne de perles	Catena di perline	Łańcuch z korali	Cordão de Conta	Бусы	Boncuk Zinciri
Muscle Drink	マッスルドリンコ	머슬 드링크	肌肉饮料	肌肉飲料	Proteinshake	Batido de proteínas	Boisson protéinée	Bevanda energetica	Napój na mięśnie	Bebida Energética	Напиток спортсмена	Güç İçeceği
Odd Morsel	ミステリーフード	미스터리 푸드	神秘食品	神祕食品	Seltsamer Happen	Bocado extraño	Morceau étrange	Strano boccone	Dziwny kęs	Resto de Comida	Странная закуска	Tuhaf Atıştırmalık
Rancid Gravy	スメルグレイビー	스멜 그레이비	香气卤汁	香氣滷汁	Ranzige Sauce	Salsa rancia	Sauce rance	Salsa rancida	Zjełczały sos	Molho Rançoso	Прогорклая подлива	Ekşimiş Salça
Umugi Water	ウムギウォーター	대합 워터	蛤贝水	蛤蠣水	Umugi-Wasser	Agua Umugi	Eau Umugi	Acqua Umugi	Woda umugi	Água de Umugi	Вода Умуги	Umugi Suyu
Weird Takoyaki	謎のたこやき	수수께끼의 타코야키	神秘章鱼烧	神祕章魚燒	Seltsames Takoyaki	Takoyaki raro	Takoyaki bizarre	Takoyaki bizzarro	Dziwne takoyaki	Takoyaki Estranho	Странный такояки	Tuhaf Takoyaki
Fried Bread	あげパン	튀김빵	油炸面包	炸麵包	Gebratenes Brot	Pan frito	Pain frit	Pane fritto	Smażone pieczywo	Pão Frito	Поджаренный хлеб	Kızarmış Ekmek
Crab Bread	かにパン	게빵	螃蟹面包	螃蟹麵包	Krabbenbrot	Pan de cangrejo	Pain crabe	Kanipan	Pieczywo krabowe	Pão de Siri	Лепешка с крабом	Yengeçli Ekmek
Apple Strudel	３色コロネ	3색 소라빵	三色螺旋面包	三色螺旋麵包	Apfelstrudel	Pastel de manzana	Apfelstrudel	Strudel di mele	Strudel jabłkowy	Strudel de Maçã	Яблочный штрудель	Elmalı Strudel
Melon Bread	メロンパン	멜론빵	蜜瓜面包	菠蘿麵包	Melonpan	Pan de melón	Pain melon	Melonpan	Pieczywo arbuzowe	Pão de Melão	Дынная булочка	Kavun Ekmeği
Yakisoba Pan	やきそばパン	야키소바빵	炒面面包	炒麵麵包	Yakisoba Pan	Perrito de fideos	Pain yakisoba	Panino con yakisoba	Pieczywo yakisoba	Pão de Yakisoba	Булочка с якисобой	Yakisoba Tavası
Cutlet Sandwich	カツサンド	돈가스 샌드위치	猪排三明治	炸豬排三明治	Schnitzel-Sandwich	Sándwich de carne	Sandwich au porc	Panino con katsu	Kanapka z kotletem	Sanduba de Costeleta	Сэндвич с отбивной	Külbastı Sandviç
Nama Yatsuhashi	生八橋	나마야츠하시	生八桥	生八橋	Nama Yatsuhashi	Namayatsuhashi	Nama-yatsuhashi	Nama Yatsuhashi	Nama Yatsuhashi	Nama Yatsuhashi	Яцухаси	Nama Yatsuhashi
Pickled Turnip	かぶの千枚漬け	무 센마이즈케	芜菁千枚渍	蕪菁千枚漬	Eingelegte Rübe	Rábano encurtido	Navet au vinaigre	Rapa sottaceto	Kiszona rzepa	Nabo Fatiado	Маринованная редька	Şalgam Turşusu
Konpeito	金平糖	별사탕	金平糖	金平糖	Konpeito	Konpeito	Konpeito	Konpeito	Konpeito	Konpeito	Компэйто	Konpeito
