en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Inutilizzato	Unused	Não usado	Не используется	Kullanılmıyor
Velvet Key	契約者の鍵	계약자의 열쇠	契约者的钥匙	契約者鑰匙	Velvet-Schlüssel	Llave Terciopelo	Clé de velours	Chiave di Velluto	Aksamitny Klucz	Chave de Veludo	Бархатный ключ	Kadife Anahtar
Persimmon Leaf	柿の葉っぱ	감나무 잎	柿子树叶	柿子葉	Kakiblatt	Hoja de caqui	Feuille de kaki	Foglia di cachi	Liść hebanowca	Folha de Caquizeiro	Лист хурмы	Cennet Hurması Ağacı Yaprağı
Red Fountain Pen	赤い万年筆	빨간 만년필	红色钢笔	紅色鋼筆	Roter Füller	Pluma estilográfica roja	Stylo plume rouge	Stilografica rossa	Czerwone pióro	Caneta Vermelha	Красная перьевая ручка	Kırmızı Dolmakalem
Platinum Bookmark	白金細工のしおり	백금 세공 책갈피	白金工艺书签	白金工藝品書籤	Platin-Lesezeichen	Marcapáginas de platino	Marque-page platine	Segnalibro platino	Platynowa zakładka	Marcador de Platina	Платиновая закладка	Platin Kitap Ayracı
Online Game	オンラインゲーム	온라인 게임	网络游戏	線上遊戲	Online-Gaming	Juego en línea	Jeu en ligne	Gioco online	Gra online	Jogo Online	Онлайн-игра	Çevrimiçi Oyun
Reinstatement Form	復学届	복학 신청서	复学申请书	復學申請書	Wiederaufnahmeformular	Formulario de readmisión	Formulaire réintégrat.	Modulo di reinserimento	Formularz ponownego przyjęcia	Ficha de Reinserção	Форма для восстановления в школе	Okula İade Formu
Extension Form	休学更新届	휴학 갱신 신청서	休学延长申请书	休學更新申請書	Verlängerungsantrag	Formulario de ausencia	Formulaire prolongat.	Modulo di prolungamento	Formularz przedłużenia	Ficha de Extensão	Бланк продления	Uzatma Formu
Gym Key	体育館の鍵	체육관 열쇠	体育馆的钥匙	體育館的鑰匙	Turnhallenschlüssel	Llave del gimnasio	Clé du gymnase	Chiave della palestra	Klucz do sali gimnastycznej	Chave do Ginásio	Ключ от спортзала	Spor Salonu Anahtarı
Blue Envelope	群青色の封書	군청색 봉서	宝蓝色的信封	群青色的信封	Blauer Umschlag	Sobre azul	Enveloppe bleue	Busta blu	Niebieska koperta	Envelope Azul	Синий конверт	Mavi Zarf
Folded Paper	折りたたまれた紙片	접혀 있는 종이	折叠起来的纸片	折起來的紙片	Gefaltetes Papier	Papel plegado	Papier plié	Foglio piegato	Złożony papier	Papel Dobrado	Сложенная бумажка	Katlanmış Kağıt
Handmade Choker	手作りチョーカー	수제 초커	手工项圈	手工頸飾	Handgemachtes Halsband	Gargantilla artesanal	Ras-de-cou artisanal	Strangolino a mano	Ręcznie wykonany choker	Coleira Artesanal	Самодельная бархатка	El Yapımı Tasma Kolye
Fuuka's Headphones	風花特製イヤホン	후카 특제 이어폰	风花特制耳机	風花特製的耳機	Fuukas Kopfhörer	Cascos de Fuuka	Écouteurs de Fuuka	Cuffie di Fuuka	Słuchawki Fuuki	Fones da Fuuka	Наушники Фууки	Fuuka'nın Kulaklıkları
Motorcycle Key	美鶴のバイクのキー	미츠루의 오토바이 키	美鹤的摩托钥匙	美鶴的機車鑰匙	Motorradschlüssel	Llave de moto	Clé de moto	Chiave della moto	Kluczyk do motocykla	Chave da Moto	Ключ от мотоцикла	Motosiklet Anahtarı
Cheap Lighter	１００円ライター	100엔 라이터	百元打火机	百圓打火機	Billiges Feuerzeug	Mechero barato	Briquet 1er prix	Accendino modesto	Tania zapalniczka	Isqueiro Barato	Дешевая зажигалка	Ucuz Çakmak
Persimmon Fruit	青い柿の木の実	어린 감나무의 열매	柿子树的青涩果实	未熟的青柿	Kaki	Caqui	Kaki	Cachi	Owoc hebanowca	Caqui	Хурма	Cennet Hurması
Yukari's Strap	ゆかりのストラップ	유카리의 스트랩	由加莉的挂绳	由加莉的吊飾	Yukaris Band	Correa de Yukari	Dragonne de Yukari	Laccetto di Yukari	Pasek Yukari	Cordinha da Yukari	Ремешок Юкари	Yukari'nin Askısı
Sports Tape	スポーツテープ	스포츠 테이프	运动胶带	運動綁帶	Sportklebeband	Cinta de deporte	Bandage sportif	Nastro sportivo	Taśma sportowa	Fita Esportiva	Спортивный тейп	Spor Bandı
Shojo Manga	少女漫画の短編集	순정 만화 단편집	少女漫画短篇集	少女漫畫短篇集	Shojo-Manga	Manga para chicas	Manga shojo	Manga shojo	Manga Shojo	Mangá Shojo	Сёдзё-манга	Shojo Manga
Screenshot Data	思い出の絵文字	추억의 이모티콘	回忆的颜文字	回憶的文字圖案	Screenshot-Daten	Datos en pantalla	Capture d'écran	Screenshot	Dane zrzutu ekranu	Dados Capturados	Снимок экрана с данными	Ekran Görüntüsü Verisi
Award Letter	コンクール受賞通知	콩쿠르 수상 통지서	竞赛得奖通知	比賽獲獎通知	Verkündigung	Carta de premio	Lettre de récompense	Nota del premio	List nagradzający	Carta de Prêmio	Письмо с наградой	Ödül Mektubu
Kids' Letter	子供たちの寄せ書き	아이들의 롤링 페이퍼	孩子们的签名集	孩子們一起寫的卡片	Kinderbrief	Carta de niños	Lettre d'enfants	Lettera dei bimbi	List dzieci	Carta das Crianças	Детское письмо	Çocukların Mektubu
Bead Ring	ビーズの指輪	비즈 반지	串珠戒指	串珠戒指	Perlenring	Anillo de abalorios	Anneau de perles	Anello di perline	Pierścionek z korali	Anel de Miçanga	Бисерное колечко	Boncuklu Yüzük
Money Pouch	巾着袋	주머니	布口袋	束口袋	Geldbörse	Monedero	Porte-monnaie	Borsellino	Sakiewka	Porta-moedas	Мешочек с деньгами	Para Kesesi
Thank-You Letter	福祉団体の感謝状	복지 단체의 감사장	社会福利团体的感谢状	社福團體的感謝狀	Dankesbrief	Carta de agradecimiento	Lettre de remerciement	Ringraziamento	List z podziękowaniami	Carta de Obrigado	Благодарственное письмо	Teşekkür Mektubu
Reserve Tag	ネームプレート	이름표	铭牌	名牌	Schutzzeichen	Etiqueta de reserva	Plaque identification	Etichetta riserva	Etykieta na butelkę	Etiqueta de Reserva	Бирка резерва	Şişe Etiketi
Car Key	形見の車のキー	유품 자동차 키	遗物的车钥匙	紀念的車鑰匙	Autoschlüssel	Llave de coche	Clés de voiture	Chiave dell'auto	Kluczyk do samochodu	Chave de Carro	Ключ от машины	Araba Anahtarı
Gourmet License	グルメキング認定証	미식왕 인증서	美食大王认定证	美食王資格認證書	Gourmet-Lizenz	Licencia gourmet	Permis de gourmet	Licenza gourmet	Licencja smakosza	Licença Gourmet	Лицензия гурмана	Gurme Lisansı
Worn Notebook	ボロボロのノート	너덜너덜한 노트	破旧的笔记本	破舊的筆記本	Abgenutztes Notizbuch	Cuaderno desgastado	Carnet usé	Taccuino sgualcito	Podniszczony notes	Caderno Surrado	Потрепанный блокнот	Yıpranmış Not Defteri
Charred Screw	焼け焦げたネジ	타 버린 나사	烧焦了的螺丝	燒焦的螺絲	Verkohlte Schraube	Tornillo carbonizado	Vis calcinée	Vite annerita	Ukruszony wkręt	Parafuso Carbonizado	Обугленный винтик	Yanmış Vida
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Vibrant Feather	極彩色の羽	극채색 깃털	炫彩羽毛	色彩繽紛之羽	Grelle Feder	Pluma vibrante	Plume colorée	Piuma vivace	Jaskrawe pióro	Pena Vibrante	Яркое перо	Dolgun Tüy
Sugar Key	お菓子の鍵	과자 열쇠	糖果钥匙	點心鑰匙	Zuckerschlüssel	Llave azucarada	Clé en sucre	Chiave di zucchero	Cukrowy klucz	Chave Doce	Сахарный ключ	Şeker Anahtar
Pentagram Stone	五芒星の石	오망성의 돌	五芒星石	五芒星之石	Pentagrammstein	Piedra del pentagrama	Pierre pentagramme	Pietra del pentagramma	Kamień z pentagramem	Pedra com Pentagrama	Камень с пентаграммой	Pentagram Taşı
Marionette	糸の切れた人形	끈이 끊어진 인형	断线的人偶	斷了線的人偶	Marionette	Marioneta	Marionnette	Marionetta	Marionetka	Marionete	Марионетка	Kukla
Lily Petal	百合の花びら	백합의 꽃잎	百合花瓣	百合花瓣	Lilienblüte	Pétalo de lirio	Pétale de lis	Petalo di giglio	Płatek lilii	Pétala de Lírio	Лепесток лилии	Zambak Yaprağı
Masakados	マサカドゥス	마사카두스	将门之力	將門	Masakados	Masakados	Masakados	Masakados	Masakados	Masakados	Масакадос	Masakados
Small Cheongsam	小さなチャイナ服	작은 차이나 드레스	小小的旗袍	小尺碼中式服裝	Kleines Cheongsam	Cheongsam pequeño	Petit qipao	Cheongsam piccolo	Małe qipao	Cheongsam Pequeno	Короткое ципао	Küçük Cheongsam
Book of the Ancients	古代語の本	고대어 책	古代语之书	古代文字書籍	Buch der Uralten	Libro de los ancianos	Livre des anciens	Tomo degli antichi	Księga Starożytnych	Livro dos Antigos	Книга древних	Antik Düşünürler Kitabı
Tyrant's Horn	魔王の角	마왕의 뿔	魔王之角	魔王的角	Tyrannenhorn	Cuerno del tirano	Corne du Tyran	Corno del tiranno	Róg Tyrana	Chifre do Tirano	Рог тирана	Zorbanın Boynuzu
Phoenix Tail	不死鳥の尾	불사조의 꼬리	不死鸟之尾	不死鳥之尾	Phönix-Schweif	Cola de fénix	Queue du Phénix	Coda di fenice	Ogon feniksa	Cauda da Fênix	Хвост феникса	Zümrüdüanka Kuyruğu
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Colorless Mask	無色の仮面	무색 가면	无色的面具	無色的面具	Maske der Chiffre	Máscara de génesis	Masque du Cipher	Maschera dello Zero	Bezbarwna maska	Máscara Incolor	Бесцветная маска	Renksiz Maske
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Old Document 01	人工島計画文書０１	인공섬 계획 문서 01	人工岛计划文书０１	人工島建設計畫書０１	Altes Dokument 1	Documento antiguo 1	Vieux document 1	Vecchio testo 01	Stary dokument 01	Documento Velho 01	Старый документ 01	01 Numaralı Eski Belge
Old Document 02	人工島計画文書０２	인공섬 계획 문서 02	人工岛计划文书０２	人工島建設計畫書０２	Altes Dokument 2	Documento antiguo 2	Vieux document 2	Vecchio testo 02	Stary dokument 02	Documento Velho 02	Старый документ 02	02 Numaralı Eski Belge
Old Document 03	人工島計画文書０３	인공섬 계획 문서 03	人工岛计划文书０３	人工島建設計畫書０３	Altes Dokument 3	Documento antiguo 3	Vieux document 3	Vecchio testo 03	Stary dokument 03	Documento Velho 03	Старый документ 03	03 Numaralı Eski Belge
Old Document 04	人工島計画文書０４	인공섬 계획 문서 04	人工岛计划文书０４	人工島建設計畫書０４	Altes Dokument 4	Documento antiguo 4	Vieux document 4	Vecchio testo 04	Stary dokument 04	Documento Velho 04	Старый документ 04	04 Numaralı Eski Belge
Old Document 05	人工島計画文書０５	인공섬 계획 문서 05	人工岛计划文书０５	人工島建設計畫書０５	Altes Dokument 5	Documento antiguo 5	Vieux document 5	Vecchio testo 05	Stary dokument 05	Documento Velho 05	Старый документ 05	05 Numaralı Eski Belge
Old Document 06	人工島計画文書０６	인공섬 계획 문서 06	人工岛计划文书０６	人工島建設計畫書０６	Altes Dokument 6	Documento antiguo 6	Vieux document 6	Vecchio testo 06	Stary dokument 06	Documento Velho 06	Старый документ 06	06 Numaralı Eski Belge
