id	en	jp	cn	tw	ko	gr	es	fr	it
ITEMMEALNAME_00	Green Apple Cider	青リンゴのシードル	青苹果酒	青蘋果酒	풋사과 사이다	Grüner-Apfel-Cider	Sidra de manzana verde	Cidre pommes vertes	Sidro di mela verde
ITEMMEALNAME_01	Vitamin Spaghetti	体力活性スパゲティ	滋补强身意面	活力義大利麵	체력 활성 스파게티	Vitamin-Spaghetti	Spaghetti vitamínico	Spaghettis vitaminés	Spaghetti curativi
ITEMMEALNAME_02	Negoti-ale	ネゴシエール	谈判汽水	談判汽水	네고시에일	Bier der Eloquenz	Negocerveza	Négociabière	Trattabirra
ITEMMEALNAME_03	Philanthropic Shoyu Ramen	博愛醤油らあめん	博爱酱油拉面	博愛醬油拉麵	박애의 간장 라면	Philanthropie-Ramen	Ramen filántropo	Ramen soja altruiste	Ramen filantropico
ITEMMEALNAME_04	Critical Boscaiola	会心のボスカイオーラ	会心之樵夫风披萨	暴擊野菇風味料理	회심의 보스카이올라	Kritische Boscaiola	Boscaiola crítica	Boscaiola critique	Boscaiola critica
ITEMMEALNAME_05	Humble Mushroom Rice Porridge	まごころキノコ雑炊	诚心蘑菇杂烩粥	真心野菇粥	진심이 담긴 버섯죽	Ehrlichkeitsreisbrei	Arroz energético	Riz champi sincère	Porridge ai funghi
ITEMMEALNAME_06	Purity Shio Ramen	純真塩らあめん	纯真盐味拉面	純真鹽味拉麵	순진의 소금 라면	Reinheitsramen	Ramen puro	Ramen au sel purifié	Ramen della purezza
ITEMMEALNAME_07	Beginner Bianca	初心のビアンカ	初愿之白披萨	初衷白披薩	초심의 비앙카	Bianca für Anfänger	Bianca primeriza	Bianca de novice	Bianca novizia
ITEMMEALNAME_08	Farm-raised Eelburger	養殖うなぎバーガー	养殖鳗鱼汉堡	養殖鰻魚堡	양식 장어 버거	Aal-Burger	Hamburguesa novicia	Pâté d'anguille	Hamburger anguilla
ITEMMEALNAME_09	Chakra Flan	チャクラプリン	脉轮布丁	脈輪布丁	차크라 푸딩	Chakra-Flan	Flan de chakra	Flan à chakra	Flan di chakra
ITEMMEALNAME_10	In-cider	イン・サイダー	IN·CIDER	內線汽水	인싸이다	In-Cider	Insidra	Cidre d'initié	Sidro
ITEMMEALNAME_11	Placebo Drink	プラシーボドリンク	心理安慰水	安慰飲料	플라시보 드링크	Placebo-Wasser	Agua de placebo	Boisson placebo	Acqua placebo
ITEMMEALNAME_12	Goma Miso Ramen	護摩味噌らあめん	护摩味噌拉面	護摩味噌拉麵	깨된장 라면	Goma Miso Ramen	Ramen aromático	Ramen au miso	Ramen al miso
ITEMMEALNAME_13	Dexterous Pescatora	早業のペスカトーレ	快速之海鲜披萨	閃雷漁夫義大利麵	즉석 페스카토레	Meeresfrüchte	Pescatora diestra	Pêche de dextérité	Pescatora a sorpresa
ITEMMEALNAME_14	Prayer Bouillabaisse	おいのりブイヤベース	祈愿马赛鱼汤	祈願馬賽魚湯	기도의 부야베스	Gebet-Bouillabaisse	Bullabesa espiritual	Bouillabaisse prière	Bouillabaisse santa
ITEMMEALNAME_15	Inspiration Macaron	ひらめきマカロン	闪耀马卡龙	靈感馬卡龍	번뜩임의 마카롱	Inspirationsmacaron	Macarrón de inspiración	Macaron stimulant	Macaron ispiratore
ITEMMEALNAME_16	Varja Sara Udon	金剛皿うどん	金刚炒乌冬	硬盤裝炒烏龍麵	금강 접시우동	Vajra Sara Udon	Udon protector	Vajra Sara Udon	Sara udon
ITEMMEALNAME_17	Adversity Marinara	逆境のマリナーラ	逆境之玛丽亚娜披萨	逆境義式紅醬	역경의 마리나라	Widrigkeitsmarinara	Marinara adversa	Marinara d'adversité	Marinara fatale
ITEMMEALNAME_18	Superfast Noodle Cup	瞬速カップ麺	瞬速泡面	瞬速杯麵	순속 컵라면	Supertempo-Instantnudeln	Fideos instantáneos	Nouilles de vitesse	Noodle superveloci
ITEMMEALNAME_19	Chewy Taiyaki	もちもち鯛焼き	Q弹鲷鱼烧	黏牙鯛魚燒	쫀득쫀득 붕어빵	Taffes Taiyaki	Taiyaki	Taiyaki	Taiyaki soffice
ITEMMEALNAME_20	Stealth Camo Salad	ステルス迷彩サラダ	隐形迷彩沙拉	匿蹤迷彩沙拉	스텔스 위장 샐러드	Tarnsalat	Ensalada de camuflaje	Salade de camouflage	Insalata mimetica
ITEMMEALNAME_21	Spiritual Cold Ramen	霊感冷やし中華	灵感中华凉面	通靈中華涼麵	영감 냉면	Spirituelle Ramen	Ramen incorpóreo	Ramen spirituel	Ramen spirituale
ITEMMEALNAME_22	Featherlight Wonton Ramen	はごろもワンタン麺	羽衣云吞面	羽衣餛飩麵	날개옷 완탕면	Wan-Tan-Ramen	Ramen liviano	Ramen au wonton	Ramen e wonton
ITEMMEALNAME_23	Aim Bambino	命中のバンビーノ	命中之班比诺披萨	命中邦比諾披薩	명중의 밤비노	Pizza Präzisa	Bambino preciso	Bambino de visée	Pizza bimbi
ITEMMEALNAME_24	Demon Dew	アクマエリアス	魔动乐	惡魔運動飲料	악마 에이드	Dämonade	Demonada	Démonade	Demonade
ITEMMEALNAME_25	Greedy Babaocai	よくばり八宝菜	贪欲八宝菜	貪婪八寶菜	욕심쟁이 팔보채	Babaocai der Gier	Babaocai codicioso	Babaocai gourmand	Babaocai
ITEMMEALNAME_26	Lively Apple Pie	にぎやかアップルパイ	热闹苹果派	喧鬧蘋果派	떠들썩한 애플파이	Belebter Apfelkuchen	Tarta bulliciosa	Tourte vivifiante	Torta di mele
ITEMMEALNAME_27	Devotion Tsukemen	精進つけ麺	素斋蘸面	修行沾麵	정진의 츠케맨	Tsukemen der Hingabe	Tsukemen devoto	Tsukemen de dévotion	Tsukemen devoto
