en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Plain Shirt	ソリッドシャツ	솔리드 셔츠	纯色衬衫	純色襯衫	Simples Hemd	Camisa lisa	Chemise ordinaire	Camicia semplice	Pospolita koszula	Camisa Simples	Простая рубашка	Düz Tişört
Knit Cardigan	ニットカーディガン	니트 카디건	针织开衫	毛織上衣	Strickjacke	Chaqueta de punto	Cardigan tricoté	Cardigan a maglia	Dziergany kardigan	Cardigã de Tricô	Вязаный свитер	Örme Hırka
Dress Shirt	ドレスシャツ	드레스 셔츠	礼服衬衫	禮服襯衫	Anzughemd	Camisa de vestir	Chemise habillée	Camicia elegante	Elegancka koszula	Camisa Social	Рубашка	Frak Gömleği
Red Vest	ノースリーブベスト	노 슬리브 베스트	无袖背心马甲	無袖背心	Rote Weste	Chaleco rojo	Gilet rouge	Gilet rosso	Czerwona kamizelka	Colete Vermelho	Красный жилет	Kırmızı Yelek
Ruffled Blouse	フリルブラウス	프릴 블라우스	花边罩衫	褶邊罩衫	Rüschenbluse	Blusa con volantes	Chemisier froncé	Blusa increspata	Pomarszczona bluzka	Blusa com Babados	Блуза с рюшами	Buruşuk Bluz
Turtleneck	タートルシャツ	터틀 셔츠	高领衬衫	高領衫	Rollkragenpulli	Cuello alto	Col roulé	Maglione a collo alto	Golf	Gola Rolê	Водолазка	Balıkçı Yaka Kazak
Aramid Semi-Shell	ＫＪ式セミシェル	KJ식 세미 셸	ＫＪ式半覆盖保护壳	桐条式半殼層護甲	Aramid-Halbrüstung	Semiarmazón aramida	Plastron en aramide	Emiguscio aramidico	Aramidowa półskorupa	Semicasco de Aramida	Арамидный полунагрудник	Aramid Yarım Kabuk
Zip Hoodie	ジップパーカー	집 파카	拉链卫衣	拉鍊連帽衫	Reißverschluss-Hoodie	Sudadera de cremallera	Sweat à capuche	Felpa con cerniera	Bluza z kapturem na zamek	Moletom de Zíper	Толстовка на молнии	Fermuarlı Hoodie
Dog Suit	ドッグスーツ	도그 슈트	狗狗服	狗狗套裝	Hundeanzug	Traje de perro	Tenue chien	Tuta canina	Kombinezon dla psa	Roupa Canina	Собачий костюм	Köpek Kıyafeti
Long Pea Coat	ロングＰコート	롱 P 코트	长款海军大衣	Ｐ型長大衣	Langer Caban	Chaquetón largo	Long caban	Caban lungo	Długi płaszcz	Sobretudo	Длинный бушлат	Uzun Denizci Montu
Rash Guard	ラッシュガード	래시가드	紧身防磨服	防護衣	Elastisches Hemd	Camisa de neopreno	T-shirt protecteur	Rash guard	Rashguard	Camisa de Compressão	Рашгард	Yapışık Tişört
Chest Protector	チェストプロテクター	체스트 프로텍터	胸部防护衣	胸部防護衣	Brustpolster	Protector de pecho	Protège-torse	Protezione busto	Osłona klatki piersiowej	Protetor de Peito	Нагрудник	Göğüslük
Amenity Suit	アメニティースーツ	어메니티 슈트	舒适套装	舒適西裝	Freizeitanzug	Traje cómodo	Tenue confortable	Abito confortevole	Garnitur uroku	Terno Elegante	Удобный костюм	Hoş Takım Elbise
Bulletproof Shirt	ケプラーシャツ	케플러 셔츠	凯夫拉衬衫	克維拉襯衫	Kugelsicheres Hemd	Camiseta antibalas	T-shirt pare-balles	Camicia blindata	Koszula kuloodporna	Camisa Blindada	Пуленепробиваемая рубашка	Kurşungeçirmez Tişört
Camo Shirt	サバイバルガード	서바이벌 가드	野外生存服	求生衣	Tarnhemd	Camiseta de camuflaje	T-shirt camouflage	Camicia mimetica	Koszulka moro	Camisa de Camuflagem	Камуфляжная футболка	Kamuflajlı Tişört
Master's Garment	達人の胴衣	달인의 조끼	高手的上衣	達人上衣	Meistergewand	Ropa de maestro	Habit de maître	Vesti del maestro	Odzież mistrza	Vestimenta do Mestre	Наряд хозяина	Ustanın Giysisi
Amigo Poncho	アミーゴポンチョ	아미고 판초	墨西哥披风	好友披掛	Amigo-Poncho	Poncho de amigo	Poncho amigo	Amigo Poncho	Amigo poncho	Poncho Amigo	Пончо амиго	Yoldaş Pançosu
Metal Protector	メタルガード	메탈 가드	金属护具	金屬防護衣	Metallpolster	Protector metal	Protection en métal	Piastre metalliche	Metalowa osłona	Protetor de Metal	Металлическая пластина	Metal Koruyucu
All-Purpose Apron	多機能エプロン	다기능 앞치마	多功能围裙	多功能圍裙	Allzweckschürze	Delantal multiusos	Tablier multi-usage	Grembiule multiuso	Wszechstronny fartuch	Avental Multiuso	Универсальный передник	Çok Amaçlı Önlük
Tigerhide Belt	虎皮の腹巻	호피 복대	虎皮缠腰	虎皮護腰	Tigerfellgürtel	Cinturón de piel de tigre	Ceinture peau de tigre	Cintura di tigre	Pas ze skóry tygrysa	Cinto de Tigre	Пояс из тигриной шкуры	Kaplan Derisi Kemer
Bulletproof Vest	ケプラーベスト	케플러 베스트	凯夫拉背心	克維拉背心	Kugelsichere Weste	Chaleco antibalas	Gilet pare-balles	Gilet blindato	Kamizelka kuloodporna	Colete Blindado	Бронежилет	Kurşungeçirmez Yelek
Tetra Jammer	テトラジャマー	테트라 재머	提特拉加玛	提特拉護甲	Tetra-Blocker	Tetratraje	Armure à talisman	Tetraostacolatore	Zakłócacz tetra	Tetrabermuda	Тетракостюм	Dört Parçalı Sinyal Kesici
Robe of Salvation	引誓の衣	맹세의 옷	引誓之衣	誓約之衣	Robe der Erlösung	Túnica de salvación	Robe du salut	Veste salvifica	Szata zbawienia	Veste da Salvação	Роба спасения	Kurtuluş Elbisesi
Emergency Vest	完全防災ベスト	완전 방재 베스트	完全防灾背心	完全防災背心	Rettungsweste	Chaleco de emergencia	Gilet d'urgence	Gilet d'emergenza	Kamizelka ratunkowa	Colete de Emergência	Спасательный жилет	Acil Durum Yeleği
Hero's Knickers	任侠のステテコ	협객의 잠방이	任侠的短衬裤	任俠七分褲	Heldenschlüpfer	Calzones de héroe	Culotte de héros	Intimo dell'eroe	Majtki bohatera	Cueca do Herói	Панталоны героя	Kahraman Pantolonu
Cloak of Sorrow	落涙のマント	낙루의 망토	落泪之斗篷	落淚的斗篷	Umhang der Trauer	Capa de la pena	Cape du chagrin	Manto della tristezza	Peleryna smutku	Capa do Pesar	Мантия скорби	Hüzün Pelerini
Robe of Warding	結界の法衣	결계의 법의	结界之法袍	結界法衣	Abwehrrobe	Túnica de protección	Robe protectrice	Veste protettiva	Szata osłony	Veste da Resguarda	Роба-оберег	Kaçma Elbisesi
Rangda Robe	スカジャランダ	스카자랑다	女巫刺绣夹克	蘭達刺繡外套	Rangda-Robe	Túnica de Rangda	Robe de Rangda	Veste di Rangda	Szata Rangda	Veste de Rangda	Роба Рангды	Rangda Elbisesi
Haori of Betrayal	裏切の羽織	배신의 하오리	背叛之羽织	背叛的羽織	Haori des Betrugs	Haori de la traición	Haori de trahison	Haori del tradimento	Haori zdrady	Haori da Traição	Хаори предательства	İhanet Haorisi
Gigantic Armor	ギガントアーマー	기간트 아머	巨人盔甲	巨人鎧甲	Riesenrüstung	Armadura gigantesca	Armure titanesque	Armatura colossale	Gigantyczny pancerz	Armadura Gigante	Броня гиганта	Devasa Zırh
Stealth Shirt	ステルス甚平	스텔스 진베	隐形甚平	隱身甚平	Tarn-Shirt	Camisa de sigilo	Chemise d'infiltration	Camicia furtiva	Koszula skradania	Camisa Furtiva	Футболка скрытности	Görünmez Tişört
Dress Shirt of Treason	謀反のドレスシャツ	모반의 드레스 셔츠	谋反之礼服衬衫	謀反的禮服襯衫	Anzughemd des Verrats	Camisa larga de la deslealtad	Chemise de soirée de révolte	Camicia elegante della fellonia	Elegancka koszula obłudy	Camisa da Perfídia	Рубашка измены	Hainlik Frak Gömleği
Battle Leotard	バトルレオタード	배틀 레오타드	战斗体操服	戰鬥體操服	Kampftrikot	Leotardo de combate	Justaucorps de combat	Body da guerra	Bitewny trykot	Collant de Batalha	Боевое трико	Sıkı Savaş Giysisi
Sid's Jacket	シドジャケット	시드 재킷	英雄夹克	席德夾克	Sids Jacke	Chaqueta de Sid	Veste de punk	Giacca di Sid	Kurtka Sida	Jaqueta do Sid	Куртка Сида	Sid'in Ceketi
Kaiser Armor	カイザーアーマー	카이저 아머	凯萨盔甲	凱薩鎧甲	Kaiserrüstung	Armadura emperador	Armure de kaiser	Armatura kaiser	Pancerz cesarza	Armadura do Kaiser	Броня Кайзера	İmparator Zırhı
Carbon Jacket	グランドスーツ	그랜드 슈트	豪华西服	豪華西裝	Hartlederjacke	Chaqueta de carbono	Veste en cuir	Giacca in carbonio	Karbonowa kurtka	Jaqueta de Carbono	Угольно-черная куртка	Karbon Ceket
Spiked Bra	スパイクブラ	스파이크 브라	尖刺胸衣	尖刺胸罩	Stachel-BH	Sujetador de pinchos	Soutif à pointes	Reggiseno chiodato	Kolczasty stanik	Sutiã Espetado	Кроп-топ с шипами	Çivili Sütyen
Waistcoat of Anguish	断泣のジレ	단읍의 질레	断泣之中衣	慟哭的內襯背心	Anorak der Qual	Chalequillo de la angustia	Gilet de douleur	Gilet del tormento	Kamizela udręki	Casaco da Angústia	Жилетка мучений	Izdırap Kolsuz Ceketi
Final Armor	ファイナルアーマー	파이널 아머	究极盔甲	終極鎧甲	Endrüstung	Armadura definitiva	Armure ultime	Armatura finale	Ostateczny pancerz	Armadura Final	Броня конца	Nihai Zırh
