id	en
ITEMCOSINFO_00	Aion-generated attire for their avatar, based on analysis of human society. 
ITEMCOSINFO_01	A uniform from a certain rural high school.
ITEMCOSINFO_02	A uniform from a certain metropolitan high school.
ITEMCOSINFO_03	A costume with a supernatural air of rebellion to it.
ITEMCOSINFO_04	An outfit once worn by the whimsical demon Nemissa.
ITEMCOSINFO_05	Student attire once worn by a prolific Taisho-era demon Summoner.
ITEMCOSINFO_06	Garb worn by the traditional guardians of the Eastern Kingdom of Mikado.
ITEMCOSINFO_07	An Aion-generated swimsuit. A modern design based on recreational analysis.
ITEMCOSINFO_08	A traditional maid dress once worn by a loyal servant.
ITEMCOSINFO_09	衣装説明009
ITEMCOSINFO_10	Practical, breathable combat attire optimal for fieldwork.
ITEMCOSINFO_11	A uniform from a certain rural high school.
ITEMCOSINFO_12	A uniform from a certain metropolitan high school.
ITEMCOSINFO_13	A costume with a supernatural air of rebellion to it.
ITEMCOSINFO_14	Once worn by an up-and-coming hacker operating out of Amami City.
ITEMCOSINFO_15	Student attire once worn by a prolific Taisho-era demon Summoner.
ITEMCOSINFO_16	Garb worn by the traditional guardians of the Eastern Kingdom of Mikado.
ITEMCOSINFO_17	A sporty and functional swimsuit. Caught Arrow's eye at a beachside clubhouse.
ITEMCOSINFO_18	衣装説明018
ITEMCOSINFO_19	衣装説明019
ITEMCOSINFO_20	Saizo's best (and only) suit, bought when he'd just started out. (Emptied his wallet.)
ITEMCOSINFO_21	A uniform from a certain rural high school.
ITEMCOSINFO_22	A uniform from a certain metropolitan high school.
ITEMCOSINFO_23	A costume with a supernatural air of rebellion to it.
ITEMCOSINFO_24	The outfit of a Devil Summoner who once operated out of Hirasaki City.
ITEMCOSINFO_25	The outfit of a detective who traveled all over Taisho-era Japan.
ITEMCOSINFO_26	Garb worn by the traditional guardians of the Eastern Kingdom of Mikado.
ITEMCOSINFO_27	A breezy swimsuit. You can sort of see Saizo's fashion tastes, even here.
ITEMCOSINFO_28	衣装説明028
ITEMCOSINFO_29	衣装説明029
ITEMCOSINFO_30	Milady's combat attire. Has a certain elegant flair, even in the heat of battle.
ITEMCOSINFO_31	A uniform from a certain rural high school.
ITEMCOSINFO_32	A uniform from a certain metropolitan high school.
ITEMCOSINFO_33	A costume with a supernatural air of rebellion to it.
ITEMCOSINFO_34	The outfit of a maiden who fought as the right hand of an exceptional Summoner.
ITEMCOSINFO_35	The outfit of a detective who traveled all over Taisho-era Japan.
ITEMCOSINFO_36	Garb worn by the traditional guardians of the Eastern Kingdom of Mikado.
ITEMCOSINFO_37	A gorgeous swimsuit. Obtained as a tool purely for espionage.
ITEMCOSINFO_38	大型DLC衣装
ITEMCOSINFO_39	衣装説明039
ITEMCOSINFO_40	衣装説明040
ITEMCOSINFO_41	衣装説明041
ITEMCOSINFO_42	衣装説明042
ITEMCOSINFO_43	衣装説明043
ITEMCOSINFO_44	衣装説明044
ITEMCOSINFO_45	衣装説明045
ITEMCOSINFO_46	衣装説明046
ITEMCOSINFO_47	衣装説明047
ITEMCOSINFO_48	衣装説明048
ITEMCOSINFO_49	衣装説明049
ITEMCOSINFO_50	衣装説明050
ITEMCOSINFO_51	衣装説明051
ITEMCOSINFO_52	衣装説明052
ITEMCOSINFO_53	衣装説明053
ITEMCOSINFO_54	衣装説明054
ITEMCOSINFO_55	衣装説明055
ITEMCOSINFO_56	衣装説明056
ITEMCOSINFO_57	衣装説明057
ITEMCOSINFO_58	衣装説明058
ITEMCOSINFO_59	衣装説明059
ITEMCOSINFO_60	衣装説明060
ITEMCOSINFO_61	衣装説明061
ITEMCOSINFO_62	衣装説明062
ITEMCOSINFO_63	衣装説明063
ITEMCOSINFO_64	衣装説明064
ITEMCOSINFO_65	衣装説明065
ITEMCOSINFO_66	衣装説明066
ITEMCOSINFO_67	衣装説明067
ITEMCOSINFO_68	衣装説明068
ITEMCOSINFO_69	衣装説明068
ITEMCOSINFO_70	衣装説明070
ITEMCOSINFO_71	衣装説明071
ITEMCOSINFO_72	衣装説明072
ITEMCOSINFO_73	衣装説明073
ITEMCOSINFO_74	衣装説明074
ITEMCOSINFO_75	衣装説明075
ITEMCOSINFO_76	衣装説明076
ITEMCOSINFO_77	衣装説明077
ITEMCOSINFO_78	衣装説明078
ITEMCOSINFO_79	衣装説明079
ITEMCOSINFO_80	衣装説明080
ITEMCOSINFO_81	衣装説明081
ITEMCOSINFO_82	衣装説明082
ITEMCOSINFO_83	衣装説明083
ITEMCOSINFO_84	衣装説明084
ITEMCOSINFO_85	衣装説明085
ITEMCOSINFO_86	衣装説明086
ITEMCOSINFO_87	衣装説明087
ITEMCOSINFO_88	衣装説明088
ITEMCOSINFO_89	衣装説明089
ITEMCOSINFO_90	衣装説明090
ITEMCOSINFO_91	衣装説明091
ITEMCOSINFO_92	衣装説明092
ITEMCOSINFO_93	衣装説明093
ITEMCOSINFO_94	衣装説明094
ITEMCOSINFO_95	衣装説明095
ITEMCOSINFO_96	衣装説明096
ITEMCOSINFO_97	衣装説明097
ITEMCOSINFO_98	衣装説明098
ITEMCOSINFO_99	衣装説明099
ITEMCOSINFO_100	衣装説明100
