id	en	ja	zh	ko	de	es	fr	it
ITEM_L0000	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
ITEM_L0001	Muscle Drink	マッスルドリンコ	肌肉飲料	머슬 드링크	Proteinshake	Batido de proteínas	Boisson énerg.	Bevanda energetica
ITEM_L0002	Medicine	傷薬	傷藥	상처약	Medikament	Medicina	Médicament	Medicina
ITEM_L0003	Life Stone	魔石	魔石	마석	Lebensstein	Piedra vital	Pierre de vie	Pietra vitale
ITEM_L0004	Bead	宝玉	寶玉	보옥	Heilperle	Abalorio	Perle	Perlina
ITEM_L0005	Bead Chain	宝玉輪	寶玉環	보옥륜	Heilperlenkette	Cadena de abalorios	Chaîne de perles	Catena di perline
ITEM_L0006	Chakra Drop	チャクラドロップ	脈輪露	차크라 드롭	Chakra-Tropfen	Gota de chakra	Goutte Chakra	Goccia di chakra
ITEM_L0007	Chakra Pot	チャクラポット	脈輪壺	차크라 포트	Chakra-Topf	Bote de chakra	Fiole Chakra	Giara di chakra
ITEM_L0008	Great Chakra	グレイトチャクラ	宏偉脈輪	그레이트 차크라	Großes Chakra	Gran chakra	Grand Chakra	Chakra superiore
ITEM_L0009	Soma Droplet	ソーマの雫	蘇摩露水	소마 물방울	Soma-Tropfen	Gotita de soma	Gouttelette Soma	Goccia di Soma
ITEM_L0010	Soma	ソーマ	蘇摩	소마	Soma	Soma	Soma	Soma
ITEM_L0011	Bead of Life	生玉	生玉	생옥	Perle des Lebens	Abalorio de vida	Perle de vie	Perlina vitale
ITEM_L0012	Chakra Elixir	チャクラ金剛丹	脈輪金剛丹	차크라 금강단	Chakra-Elixier	Elixir de chakra	Élixir Chakra	Elisir di chakra
ITEM_L0013	Revival Bead	道反玉	道返玉	도반옥	Auferstehungsperle	Abal. resurreción	Perle de renaiss.	Perlina rigenerante
ITEM_L0014	Balm of Rising	反魂香	返魂香	반혼향	Auferstehungssalbe	Unto de despertar	Baume de réveil	Balsamo del ritorno
ITEM_L0015	Sacred Water	イワクラの水	磐座之水	이와쿠라의 물	Weihwasser	Agua sagrada	Eau sacrée	Acqua sacra
