en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Slash	斬撃	참격	斩击	斬擊	Hieb	Corte	Taillade	Taglio	Cięcie	Corte	Рассечение	Kesik
Strike	打撃	타격	打击	打擊	Schlag	Golpe	Frappe	Colpo	Uderzenie	Contusão	Удар	Vuruş
Pierce	貫通	관통	贯穿	貫穿	Durchbohren	Perforación	Perforation	Perforazione	Pchnięcie	Perfuração	Пронзание	Delme
Fire	火炎	화염	火焰	火焰	Feuer	Fuego	Feu	Fuoco	Ogień	Fogo	Огонь	Ateş
Ice	氷結	빙결	冰冻	冰凍	Eis	Hielo	Glace	Ghiaccio	Lód	Gelo	Лед	Buz
Electric	電撃	전격	电击	電擊	Elektro	Electricidad	Électricité	Elettrico	Elektryczność	Raio	Молния	Elektrik
Wind	疾風	질풍	疾风	疾風	Wind	Viento	Vent	Vento	Wiatr	Vento	Ветер	Rüzgar
Almighty	万能	만능	万能	萬能	Allmächtig	Todopoderoso	Absolu	Divino	Wszechmocne	Onipotente	Всемогущее	Yücelik
Holy	神聖	신성	神圣	神聖	Heilig	Sagrado	Légende	Sacro	Święte	Sagrado	Священное	Kutsal
Dark	暗黒	암흑	暗黑	暗黑	Dunkelheit	Oscuridad	Ombre	Oscurità	Mrok	Trevas	Тьма	Karanlık
Charm	悩殺	뇌쇄	魅惑	魅惑	Charme	Encanto	Charme	Fascino	Oczarowanie	Charme	Очарование	Cazibe
Poison	猛毒	맹독	剧毒	猛毒	Gift	Veneno	Poison	Veleno	Zatrucie	Veneno	Отравление	Zehir
Distress	動揺	동요	动摇	動搖	Qual	Angustia	Détresse	Angoscia	Udręka	Angústia	Паника	Endişe
Confuse	混乱	혼란	混乱	混亂	Verwirrung	Confusión	Confusion	Confusione	Dezorientacja	Confusão	Смятение	Kafa Karışıklığı
Fear	恐怖	공포	恐惧	恐懼	Furcht	Miedo	Peur	Paura	Strach	Medo	Страх	Korku
Rage	ヤケクソ	자포자기	暴怒	自暴自棄	Wut	Furia	Rage	Furia	Furia	Fúria	Ярость	Öfke
Heal	回復	회복	恢复	恢復	Heilen	Curar	Soigner	Cura	Ulecz	Curar	Исцеление	Şifa ver
Support	補助	보조	辅助	輔助	Unterstützen	Apoyo	Assistance	Supporto	Wsparcie	Suporte	Поддержка	Destek
Special	特殊	특수	特殊	特殊	Spezial	Especial	Spécial	Speciale	Specjalne	Especial	Особое	Özel
