en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Engineer Boots	エンジニアブーツ	엔지니어 부츠	技师靴	工程師長靴	Feste Stiefel	Botas de ingeniero	Bottes d'ingénieur	Stivali da ingegnere	Buty inżyniera	Bota de Maquinista	Обувь инженера	Mühendis Botu
Brown Loafers	ブラウンローファー	브라운 로퍼	棕色乐福鞋	棕色樂福鞋	Braune Slipper	Mocasines marrones	Mocassins marron	Mocassini marroni	Brązowe mokasyny	Mocassim Marrom	Коричневые слипоны	Kahverengi Loafer Ayakkabı
Straight Tip	ストレートチップ	스트레이트 팁	三接头皮靴	橫紋皮鞋	Glatte Stiefel	Botas de punta recta	Bottines	Scarpe classiche	Prosty czubek	Bota de Bico Reto	Туфли-оксфорды	Kösele Ayakkabı
Inverse Shoes	コンボスシューズ	콤보스 슈즈	常规款皮鞋	運動鞋	Kombischuhe	Zapatillas Inverse	Chaussures Conberce	Scarpe Inverse	Odwrotne buty	Sapato Invertido	Необычные туфли	Ters Ayakkabı
Knee-High Boots	ヒールブーツ	힐 부츠	高跟长靴	高跟長靴	Kniehohe Stiefel	Botas altas	Cuissardes	Stivali alti	Buty do kolan	Bota de Cano Alto	Ботфорты	Diz Hizasında Çizme
Black Loafers	ブラックローファー	블랙 로퍼	黑色乐福鞋	黑色樂福鞋	Schwarze Slipper	Mocasines negros	Mocassins noirs	Mocassini neri	Czarne mokasyny	Mocassim Preto	Черные лоферы	Siyah Loafer Ayakkabı
Pearlite Legs	パーライト脚装具	펄라이트 다리장비	珠光体脚部装具	珍珠岩腳部裝甲	Perlen-Beinschienen	Piernas de perlita	Jambes en perlite	Gambali di perlite	Perlitowe nogawice	Pernas de Perlita	Перлитовые ноги	Perlit Bacaklar
Soccer Shoes	サッカーシューズ	축구화	足球鞋	足球鞋	Fußballschuhe	Botas de fútbol	Tennis	Scarpe da calcio	Buty piłkarskie	Chuteira	Футбольные бутсы	Futbol Ayakkabısı
Bare Paws	素足	맨발	光脚	光腳	Bloße Tatzen	Patas desnudas	Pantoufles pattes	Zampe nude	Nagie łapy	Patas Nuas	Босые лапы	Çıplak Patiler
Western Boots	ウェスタンブーツ	웨스턴 부츠	牛仔靴	西部長靴	Cowboystiefel	Botas del oeste	Santiags	Stivali da cowboy	Zachodnie buty	Bota de Caubói	Ботинки в западном стиле	Kovboy Botu
High-Tech Sandals	ハイテクサンダル	하이테크 샌들	高科技凉鞋	高科技涼鞋	High-Tech-Sandalen	Sandalias alta tecnología	Sandales high-tech	Sandali tecnologici	Zaawansowane sandały	Sandália High-Tech	Технологичные сандалии	Yüksek Teknoloji Sandalet
Rubber Sole	ラバーソール	러버 솔	胶底靴	厚底鞋	Dicke Sohlen	Botas suela de goma	Semelles caoutchouc	Suole di gomma	Gumowa podeszwa	Sola de Borracha	Резиновая подошва	Kauçuk Ayakkabı Tabanı
Rugged Geta	バンカラ下駄	전통 나막신	粗犷木屐	洋風木屐	Grobe Geta	Geta resistentes	Geta robustes	Geta rovinati	Solidne geta	Geta Áspera	Крепкие гэта	Sağlam Geta
Leather Boots	レザーブーツ	레더 부츠	皮靴	皮革長靴	Lederstiefel	Botas de cuero	Bottes en cuir	Stivali in pelle	Skórzane buty	Bota de Couro	Кожаные сапоги	Deri Bot
Inline Skates	インラインスケート	인라인스케이트	单排轮滑靴	單排滑輪溜冰鞋	Inlineskates	Patines en línea	Rollers	Pattini in linea	Rolki	Patins	Кроссовки с роликами	Hizalı Patenler
Combat Boots	コンバットブーツ	컴뱃 부츠	战术靴	戰鬥長靴	Kampfstiefel	Botas de combate	Bottes de combat	Stivali da lotta	Buty wojskowe	Coturno	Тактическая обувь	Muharebe Botu
Mechanical Geta	メカニカル下駄	메커니컬 나막신	技术木屐	機械化木屐	High-Tech-Geta	Geta mecánicas	Geta mécaniques	Geta meccanici	Mechaniczne geta	Geta Mecânica	Механические гэта	Mekanik Geta
Beast Leggings	ビーストタイツ	비스트 타이츠	野兽裤袜	野獸褲襪	Bestienleggings	Mallas de bestia	Legging bestial	Leggings bestiali	Leginsy bestii	Legging Bestial	Легинсы зверя	Canavar Tozlukları
Crimson Greaves	真紅の具足	진홍의 각반	鲜红足铠	深紅足鎧	Scharlach-Beinschienen	Grebas carmesí	Grèves pourpres	Schinieri cremisi	Karmazynowe nagolenniki	Grevas Carmesim	Багровые поножи	Kızıl Bacak Zırhları
Magic Sandals	マジックサンダル	매직 샌들	魔法凉鞋	魔法涼鞋	Magische Sandalen	Sandalias mágicas	Sandales magiques	Sandali magici	Magiczne sandały	Sandália Mágica	Волшебные сандалии	Büyülü Sandalet
Max Safety Shoes	スーパー安全靴	슈퍼 안전화	超级安全靴	超級安全靴	Sicherheitsschuhe	Calzado máx. seguridad	Chaussures de sécurité max	Scarpe di sicurezza	Buty BHP	Sapato de Segurança	Защитная обувь	Maksimum Emniyetli Ayakkabı
Warrior's Boots	武人の具足	무인의 각반	武者足铠	武人足鎧	Kriegerstiefel	Botas de combatiente	Bottes de guerrier	Stivali guerrieri	Buty wojownika	Bota do Guerreiro	Сапоги воина	Savaşçının Botu
Cyber Shoes	サイバーシューズ	사이버 슈즈	电子鞋	未來鞋	Cyberschuhe	Cibercalzado	Cyberchaussures	Cyberscarpe	Cyberbuty	Sapato Cibernético	Кибернетическая обувь	Siber Ayakkabı
Silent Sandals	忍の足袋	닌자의 버선	忍者布袜	忍者襪	Ninjasandalen	Sandalias silenciosas	Sandales discrètes	Sandali silenti	Ciche sandały	Sandália Silenciosa	Неслышимые сандалии	Sessiz Sandalet
Dragon Boots	龍虎地下足袋	용호 지하 버선	龙虎地下布袜	龍虎分趾鞋	Drachenstiefel	Botas de dragón	Bottes du dragon	Stivali del drago	Smocze buty	Bota de Dragão	Сапоги дракона	Ejder Botu
