en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
ブランク	ブランク	블랭크	空白	空欄	ブランク	ブランク	ブランク	ブランク	ブランク	ブランク	ブランク	ブランク
Portable Player	携帯音楽プレイヤー	휴대용 음악 플레이어	随身听	隨身型音樂播放器	Discman	Reproductor portátil	Lecteur mp3	Lettore portatile	Przenośny odtwarzacz	Tocador de MP3	Плеер	Taşınabilir Oynatıcı
Heart Choker	ハートチョーカー	하트 초커	爱心项圈	愛心頸飾	Herz-Halsband	Gargantilla de corazón	Ras-de-cou cœur	Collana a cuore	Choker serca	Coleira de Coração	Бархатка с сердечком	Kalpli Tasma Kolye
Silver Necklace	シルバーネックレス	은 목걸이	白银项链	白銀項鍊	Silber-Halskette	Collar de plata	Collier en argent	Collana d'argento	Srebrny naszyjnik	Colar de Prata	Серебряное колье	Gümüş Kolye
Leather Gloves	黒の革手袋	검은 가죽 장갑	黑色皮手套	黑色皮手套	Lederhandschuhe	Guantes de cuero	Gants en cuir	Guanti di pelle	Skórzane rękawice	Luvas de Couro	Кожаные перчатки	Deri Eldiven
Fancy Nails	ジュエリーネイル	주얼리 네일	珠光美甲	美甲鑽飾	Schicke Nägel	Uñas sofisticadas	Faux ongles chics	Unghie finte	Wytworne paznokcie	Unhas Chiques	Стильные ногти	Süslü Tırnaklar
Bead Necklace	ビーズのネックレス	비즈 목걸이	串珠项链	串珠項鍊	Perlenhalskette	Collar de abalorios	Collier de perles	Filo di perline	Naszyjnik z korali	Colar de Contas	Ожерелье-бусы	Boncuklu Kolye
Red Ribbon	深紅のリボン	심홍색 리본	深红蝴蝶结	深紅緞帶	Rotes Band	Lazo rojo	Ruban rouge	Fiocco rosso	Czerwona wstążka	Fita Vermelha	Красная лента	Kırmızı Kurdele
Wristband	リストバンド	리스트 밴드	腕带	護腕	Armband	Pulsera	Bracelet éponge	Braccialetto	Opaska na rękę	Pulseira	Напульсник	Bileklik
Koromaru Wings	コロマルウィング	코로마루 윙	虎狼丸之翼	虎狼丸之翼	Koromaru-Flügel	Alas de Koromaru	Ailes de Koromaru	Ali di Koromaru	Skrzydła Koromaru	Asas do Koromaru	Крылья Коромару	Koromaru Kanatları
Beanie	ニットキャップ	니트 캡	针织帽	針織帽	Mütze	Gorro	Bonnet	Berretto	Czapka	Gorro	Шапка	Bere
Power Band	パワーバンド	파워 밴드	力量手镯	力量腰帶	Kraftband	Pulsera de poder	Bracelet Puissance	Fascia potente	Opaska mocy	Faixa de Poder	Повязка силы	Güç Bandı
Mega Power Band	メガパワーバンド	메가 파워 밴드	百万力量手镯	百萬力量腰帶	Mega-Kraftband	Pulsera de superpoder	Méga brac. Puissance	Fascia megapotente	Megaopaska mocy	Megafaixa de Poder	Повязка суперсилы	Mega Güç Bandı
Giga Power Band	ギガパワーバンド	기가 파워 밴드	十亿力量手镯	十億力量腰帶	Giga-Kraftband	Pulsera de gigapoder	Giga brac. Puissance	Fascia gigapotente	Gigaopaska mocy	Gigafaixa de Poder	Повязка гиперсилы	Giga Güç Bandı
Magic Band	マジックバンド	매직 밴드	魔力手镯	魔法腰帶	Magieband	Pulsera mágica	Bracelet Magie	Fascia magica	Magiczna opaska	Faixa Mágica	Повязка магии	Büyü Bandı
Mega Magic Band	メガマジックバンド	메가 매직 밴드	百万魔力手镯	百萬魔法腰帶	Mega-Magieband	Pulsera megamágica	Méga bracelet Magie	Fascia megamagica	Magiczna megaopaska	Megafaixa Mágica	Повязка супермагии	Mega Büyü Bandı
Giga Magic Band	ギガマジックバンド	기가 매직 밴드	十亿魔力手镯	十億魔法腰帶	Giga-Magieband	Pulsera gigamágica	Giga bracelet Magie	Fascia gigamagica	Magiczna gigaopaska	Gigafaixa Mágica	Повязка гипермагии	Giga Büyü Bandı
Guard Band	ガードバンド	가드 밴드	防御手镯	防禦腰帶	Ausdauerband	Pulsera de protección	Bracelet Défense	Fascia guardia	Opaska bloku	Faixa Protetora	Повязка защиты	Savunma Bandı
Mega Guard Band	メガガードバンド	메가 가드 밴드	百万防御手镯	百萬防禦腰帶	Mega-Ausdauerband	Pulsera de megaprotección	Méga bracelet Défense	Fascia megaguardia	Megaopaska bloku	Megafaixa Protetora	Повязка суперзащиты	Mega Savunma Bandı
Giga Guard Band	ギガガードバンド	기가 가드 밴드	十亿防御手镯	十億防禦腰帶	Giga-Ausdauerband	Pulsera gigaprotección	Giga bracelet Défense	Fascia gigaguardia	Gigaopaska bloku	Gigafaixa Protetora	Повязка гиперзащиты	Giga Savunma Bandı
Speed Band	スピードバンド	스피드 밴드	速度手镯	速度腰帶	Tempoband	Pulsera de velocidad	Bracelet Vitesse	Fascia rapida	Opaska prędkości	Faixa de Rapidez	Повязка скорости	Hız Bandı
Mega Speed Band	メガスピードバンド	메가 스피드 밴드	百万速度手镯	百萬速度腰帶	Mega-Tempoband	Pulsera megavelocidad	Méga bracelet Vitesse	Fascia megarapida	Megaopaska prędkości	Megafaixa de Rapidez	Повязка суперскорости	Mega Hız Bandı
Giga Speed Band	ギガスピードバンド	기가 스피드 밴드	十亿速度手镯	十億速度腰帶	Giga-Tempoband	Pulsera gigavelocidad	Giga bracelet Vitesse	Fascia gigarapida	Gigaopaska prędkości	Gigafaixa de Rapidez	Повязка гиперскорости	Giga Hız Bandı
Luck Band	ラックバンド	럭 밴드	幸运手镯	幸運腰帶	Glücksband	Pulsera de la suerte	Bracelet de chance	Fascia fortuna	Opaska szczęścia	Faixa da Sorte	Повязка удачи	Şans Bandı
Mega Luck Band	メガラックバンド	메가 럭 밴드	百万幸运手镯	百萬幸運腰帶	Mega-Glücksband	Pulsera de megasuerte	Méga bracelet Chance	Fascia megafortuna	Megaopaska szczęścia	Megafaixa da Sorte	Повязка суперудачи	Mega Şans Bandı
Giga Luck Band	ギガラックバンド	기가 럭 밴드	十亿幸运手镯	十億幸運腰帶	Giga-Glücksband	Pulsera de gigasuerte	Giga bracelet Chance	Fascia gigafortuna	Gigaopaska szczęścia	Gigafaixa da Sorte	Повязка гиперудачи	Giga Şans Bandı
Master Band	マスターバンド	마스터 밴드	大师手镯	大師腰帶	Meisterband	Pulsera maestra	Bracelet de maître	Fascia dominante	Opaska mistrza	Faixa Mestra	Повязка мастерства	Usta Bandı
Giga Master Band	ギガマスターバンド	기가 마스터 밴드	十亿大师手镯	十億大師腰帶	Giga-Meisterband	Pulsera gigamaestra	Méga brac. Puissance	Fascia gigadominante	Gigaopaska mistrza	Gigafaixa Mestra	Повязка гипермастерства	Giga Usta Bandı
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Tera Power Band	テラパワーバンド	테라 파워 밴드	兆倍力量手镯	兆級力量腰帶	Tera-Kraftband	Pulsera de terapoder	Téra brac. Puissance	Fascia terapotente	Teraopaska mocy	Terafaixa de Poder	Повязка ультрасилы	Tera Güç Bandı
Tera Magic Band	テラマジックバンド	테라 매직 밴드	兆倍魔力手镯	兆級魔法腰帶	Tera-Magieband	Pulsera teramágica	Téra bracelet Magie	Fascia teramagica	Magiczna teraopaska	Terafaixa Mágica	Повязка ультрамагии	Tera Büyü Bandı
Tera Guard Band	テラガードバンド	테라 가드 밴드	兆倍防御手镯	兆級防禦腰帶	Tera-Ausdauerband	Pulsera teraprotección	Téra bracelet Défense	Fascia teraguardia	Teraopaska bloku	Terafaixa Protetora	Повязка ультразащиты	Tera Savunma Bandı
Tera Speed Band	テラスピードバンド	테라 스피드 밴드	兆倍速度手镯	兆級速度腰帶	Tera-Tempoband	Pulsera de teravelocidad	Téra bracelet Vitesse	Fascia terarapida	Teraopaska prędkości	Terafaixa de Rapidez	Повязка ультраскорости	Tera Hız Bandı
Tera Luck Band	テララックバンド	테라 럭 밴드	兆倍幸运手镯	兆級幸運腰帶	Tera-Glücksband	Pulsera de terasuerte	Téra bracelet Chance	Fascia terafortuna	Teraopaska szczęścia	Terafaixa da Sorte	Повязка ультраудачи	Tera Şans Bandı
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Power Enhancer	パワードーパ	파워 도파	力量多巴	力量多巴胺	Kraftstärker	Potenciador de poder	Amplif. Puissance	Potenzia attacco	Wzmocnienie mocy	Ampliador de Poder	Усилитель мощи	Güç Yükseltici
Guard Enhancer	ガードドーパ	가드 도파	防御多巴	防禦多巴胺	Ausdauerstärker	Potenciador de prot.	Amplif. Défense	Potenzia guardia	Wzmocnienie bloku	Ampliador de Guarda	Усилитель защиты	Savunma Yükseltici
Speed Enhancer	スピードドーパ	스피드 도파	速度多巴	速度多巴胺	Tempostärker	Potenciador de vel.	Amplif. Vitesse	Potenzia velocità	Wzmocnienie prędkości	Ampliador de Rapidez	Усилитель скорости	Hız Yükseltici
Fire Bracers	ファイアバングル	파이어 뱅글	火焰手环	火焰手環	Feuer-Armschienen	Brazales de fuego	Brassards de feu	Bracciali focosi	Naramienniki ognia	Braçais do Fogo	Наручи огня	Ateş Kol Zırhı
Agni Bracers	アグニバングル	아그니 뱅글	阿耆尼手环	阿耆尼手環	Agni-Armschienen	Brazales de Agni	Brassards d'Agni	Bracciali di Agni	Naramienniki Agni	Braçais de Agni	Наручи Агни	Agni Kol Zırhı
Ice Bracers	アイスバングル	아이스 뱅글	寒冰手环	冰手環	Eis-Armschienen	Brazales de hielo	Brassards de glace	Bracciali glaciali	Naramienniki lodu	Braçais do Gelo	Наручи льда	Buz Kol Zırhı
Varna Bracers	ヴァルナバングル	바루나 뱅글	伐楼拿手环	伐樓拿手環	Varna-Armschienen	Brazales de Váruna	Brassards de varna	Bracciali di Varna	Naramienniki Varny	Braçais de Varna	Наручи варны	Varna Kol Zırhı
Thunder Bracers	サンダーバングル	선더 뱅글	闪电手环	雷手環	Donner-Armschienen	Brazales de trueno	Brassards de foudre	Bracciali tonanti	Naramienniki gromu	Braçais do Trovão	Наручи грома	Gök Gürültüsü Kol Zırhı
Indra Bracers	インドラバングル	인드라 뱅글	因陀罗手环	因陀羅手環	Indra-Armschienen	Brazales de Indra	Brassards d'Indra	Bracciali di Indra	Naramienniki Indry	Braçais de Indra	Наручи Индры	Indra Kol Zırhı
Wind Bracers	ウィンドバングル	윈드 뱅글	狂风手环	風手環	Wind-Armschienen	Brazales de viento	Brassards de vent	Bracciali del vento	Naramienniki wiatru	Braçais do Vento	Наручи ветра	Rüzgar Kol Zırhı
Vayu Bracers	ヴァーユバングル	바유 뱅글	伐由手环	伐由手環	Vayu-Armschienen	Brazales de Vaiu	Brassards de Vayu	Bracciali di Vayu	Naramienniki Vayu	Braçais de Vayu	Наручи Ваю	Vayu Kol Zırhı
Frenzy Beads	逆ギレの数珠	반발의 염주	歇斯底里佛珠	惱羞的數珠	Rauschperlen	Cuentas de frenesí	Perles de frénésie	Perle della furia	Korale szału	Contas do Frenesi	Бусины неистовства	Cinnet Tespihi
Pumpkin Mask	かぼちゃのマスク	호박 마스크	南瓜面具	南瓜面罩	Kürbismaske	Máscara de calabaza	Masque citrouille	Maschera da zucca	Dyniowa maska	Máscara de Abóbora	Тыквенная маска	Bal Kabağı Maskesi
Power Transmitter	パワーアンテナ	파워 안테나	力量天线	力量天線	Energiesender	Transmisor de poder	Émetteur de puissance	Trasmettitore di potenza	Przekaźnik mocy	Vetor de Poder	Передатчик мощи	Güç Aktarıcı
Guard Transmitter	ガードアンテナ	가드 안테나	防御天线	防禦天線	Ausdauersender	Transmisor de guardia	Émetteur de garde	Trasmettitore di guardia	Przekaźnik bloku	Vetor de Guarda	Передатчик защиты	Savunma Aktarıcı
Speed Transmitter	スピードアンテナ	스피드 안테나	速度天线	速度天線	Temposender	Transmisor de velocidad	Émetteur de vitesse	Trasmettitore di velocità	Przekaźnik prędkości	Vetor de Rapidez	Передатчик скорости	Hız Aktarıcı
Critical Enhancer	クリティカルドーパ	크리티컬 도파	暴击多巴	暴擊多巴胺	Krit.-Stärker	Potenciador de críticos	Amplif. de critique	Potenzia critico	Wzmocnienie trafień krytycznych	Ampliador de Crítico	Усилитель крит. попаданий	Kritik Oran Yükseltici
