id	en	jp	cn	tw	ko	gr	es	fr	it
ITEMACSNAME_00	Cross Hairband	クロスカチューシャ	布艺发箍	十字髮箍	크로스 카추샤	Zickzack-Haarband	Cinta para el pelo	Bandeau	Cerchietto
ITEMACSNAME_01	Leather Gloves	レザーグローブ	皮制手套	皮製手套	레더 글러브	Lederhandschuhe	Guante de cuero	Gants en cuir	Guanti di cuoio
ITEMACSNAME_02	Fox Fur	フォックスファー	狐毛皮草	狐狸皮草	여우 모피	Fuchspelz	Piel de zorro	Fourrure de renard	Pelliccia di volpe
ITEMACSNAME_03	Rose Earring	薔薇のピアス	玫瑰耳饰	玫瑰耳飾	장미 피어싱	Rosenohrringe	Pendientes de rosa	Boucle d'oreille rose	Orecchino di Rose
ITEMACSNAME_04	Silk Bandana	シルクバンダナ	丝制头巾	絲質頭巾	실크 반다나	Seidenbandana	Pañuelo de seda	Bandana en soie	Bandana di seta
ITEMACSNAME_05	Engineer Boots	エンジニアブーツ	技师靴	技師靴子	엔지니어 부츠	Arbeitsstiefel	Botas de ingeniero	Bottes d'ingénieur	Stivali da ingegnere
ITEMACSNAME_06	Calculator Watch	電卓付き腕時計	计算器手表	附計算機的手錶	계산기 시계	Taschenrechneruhr	Reloj calculadora	Montre calculatrice	Orologio moderno
ITEMACSNAME_07	Ring of Cosmic Will	宇宙意志のリング	宇宙意志戒指	宇宙意志的戒指	우주의 의지 반지	Weltall-Willensring	Anillo poder cósmico	Anneau de l'Univers	Anello dell'universo
ITEMACSNAME_08	Beanie	ビーニーキャップ	冷帽	針織帽	비니 캡	Mütze	Gorro de lana	Bonnet	Berretto
ITEMACSNAME_09	Horn-Rim Glasses	べっこう眼鏡	玳瑁眼镜	玳瑁眼鏡	귀갑테 안경	Hornbrille	Gafas montura gruesa	Lunettes cornées	Occhiali da vista
ITEMACSNAME_10	Safety Harness	安全ハーネス	安全带	安全帶	안전 하네스	Sicherheitsgurt	Arnés de seguridad	Harnais de sécurité	Imbracatura
