en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Inutilizzato	Unused	Não usado	Не используется	Kullanılmıyor
Plain Shirt	ソリッドシャツ	솔리드 셔츠	纯色衬衫	純色襯衫	Simples Hemd	Camisa lisa	Chemise ordinaire	Camicia semplice	Pospolita koszula	Camisa Simples	Простая рубашка	Düz Tişört
Knit Cardigan	ニットカーディガン	니트 카디건	针织开衫	毛織上衣	Strickjacke	Chaqueta de punto	Cardigan tricoté	Cardigan a maglia	Dziergany kardigan	Cardigã de Tricô	Вязаный свитер	Örme Hırka
Dress Shirt	ドレスシャツ	드레스 셔츠	礼服衬衫	禮服襯衫	Anzughemd	Camisa de vestir	Chemise habillée	Camicia elegante	Elegancka koszula	Camisa Social	Рубашка	Frak Gömleği
Red Vest	ノースリーブベスト	노 슬리브 베스트	无袖背心马甲	無袖背心	Rote Weste	Chaleco rojo	Gilet rouge	Gilet rosso	Czerwona kamizelka	Colete Vermelho	Красный жилет	Kırmızı Yelek
Ruffled Blouse	フリルブラウス	프릴 블라우스	花边罩衫	褶邊罩衫	Rüschenbluse	Blusa con volantes	Chemisier froncé	Blusa increspata	Pomarszczona bluzka	Blusa com Babados	Блуза с рюшами	Buruşuk Bluz
Turtleneck	タートルシャツ	터틀 셔츠	高领衬衫	高領衫	Rollkragenpulli	Cuello alto	Col roulé	Maglione a collo alto	Golf	Gola Rolê	Водолазка	Balıkçı Yaka Kazak
Aramid Semi-Shell	ＫＪ式セミシェル	KJ식 세미 셸	ＫＪ式半覆盖保护壳	桐条式半殼層護甲	Aramid-Halbrüstung	Semiarmazón aramida	Plastron en aramide	Emiguscio aramidico	Aramidowa półskorupa	Semicasco de Aramida	Арамидный полунагрудник	Aramid Yarım Kabuk
Zip Hoodie	ジップパーカー	집 파카	拉链卫衣	拉鍊連帽衫	Reißverschluss-Hoodie	Sudadera de cremallera	Sweat à capuche	Felpa con cerniera	Bluza z kapturem na zamek	Moletom de Zíper	Толстовка на молнии	Fermuarlı Hoodie
Dog Suit	ドッグスーツ	도그 슈트	狗狗服	狗狗套裝	Hundeanzug	Traje de perro	Tenue chien	Tuta canina	Kombinezon dla psa	Roupa Canina	Собачий костюм	Köpek Kıyafeti
Long Pea Coat	ロングＰコート	롱 P 코트	长款海军大衣	Ｐ型長大衣	Langer Caban	Chaquetón largo	Long caban	Caban lungo	Długi płaszcz	Sobretudo	Длинный бушлат	Uzun Denizci Montu
Rash Guard	ラッシュガード	래시가드	紧身防磨服	防護衣	Elastisches Hemd	Camisa de neopreno	T-shirt protecteur	Rash guard	Rashguard	Camisa de Compressão	Рашгард	Yapışık Tişört
Chest Protector	チェストプロテクター	체스트 프로텍터	胸部防护衣	胸部防護衣	Brustpolster	Protector de pecho	Protège-torse	Protezione busto	Osłona klatki piersiowej	Protetor de Peito	Нагрудник	Göğüslük
Amenity Suit	アメニティースーツ	어메니티 슈트	舒适套装	舒適西裝	Freizeitanzug	Traje cómodo	Tenue confortable	Abito confortevole	Garnitur uroku	Terno Elegante	Удобный костюм	Hoş Takım Elbise
