id	EN	JA	ZH	CH	DE	ES	FR	IT
MAPSKIL_L0000	Ignite	発火	点火	起火	Entzünden	Prender	Ignition	Accendi
MAPSKIL_L0001	Cool Down	冷却	冷却	冷卻	Abkühlen	Enfriar	Refroidissement	Raffredda
MAPSKIL_L0002	Inspect	現場検証	现场勘验	現場驗證	Untersuchen	Inspeccionar	Inspection	Ispeziona
MAPSKIL_L0003	Scout	偵察	侦查	偵察	Spähen	Reclutar	Recrutement	Scova
MAPSKIL_L0004	Use Force	力まかせ	蛮力	依靠蠻力	Kraft nutzen	Usar la fuerza	Usage de la force	Usa forza
MAPSKIL_L0005	Read Mind	読心術	读心术	讀心術	Gedanken lesen	Leer la mente	Clairvoyance	Leggi la mente
MAPSKIL_L0006	Demonstrate	匠の技	巧匠技艺	工匠技藝	Demonstrieren	Demostrar	Démonstration	Dimostra
MAPSKIL_L0008	Fly	飛行	飞行	飛行	Fliegen	Volar	Vol	Vola
MAPSKIL_L0009	Sneak	侵入	钻入	侵入	Schleichen	Entrar furtivamente	Infiltration	Intrufolati
MAPSKIL_L0016	Allure	色じかけ	色诱	色誘	Verlocken	Seducción	Glamour	Ammalia
MAPSKIL_L0017	Loose Change	ゼニ・ガットメン	金龟招财	拾金者	Kleingeld	Calderilla	Petite monnaie	Spiccioli
MAPSKIL_L0018	Scavenger	ヒロ右衛門	捡漏卫门	拾右衛門	Plündern	Carroñero	Fouineur	Recuperatore
MAPSKIL_L0019	Provoke	インネンオーラ	寻衅气场	因緣氣場	Provozieren	Provocar	Provocation	Provoca
MAPSKIL_L0020	Intimidate	高嶺の花	冰山美人	高嶺之花	Einschüchtern	Intimidación	Intimidation	Intimidisci
