en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Inutilizzato	Unused	Não usado	Не используется	Kullanılmıyor
Shortsword	ショートソード	쇼트 소드	短剑	短劍	Kurzschwert	Espada corta	Épée courte	Spada corta	Krótki miecz	Espada Curta	Короткий меч	Kısa Kılıç
Long Wakizashi	長脇差	나가와키자시	长胁差	長脇差	Langes Wakizashi	Wakizashi largo	Wakizashi long	Wakizashi lunga	Długi wakizashi	Wakizashi Longo	Длинный вакидзаси	Uzun Wakizashi
Saber	サーベル	사벨	军刀	軍刀	Säbel	Sable	Sabre	Sciabola	Szabla	Sabre	Сабля	Süvari Kılıcı
Gladius	グラディウス	글라디우스	罗马短剑	羅馬短劍	Gladius	Gladius	Gladius	Gladio	Gladius	Gladius	Гладиус	Gladius
Nikkari Aoe	にっかり青江	닛카리 아오에	笑面青江	笑面青江	Nikkari Aoe	Nikkari Aoe	Nikkari Aoe	Nikkari Aoe	Nikkari Aoe	Nikkari Aoe	Никкари Аоэ	Nikkari Aoe
Fudo Masamune	不動正宗	후도 마사무네	不动正宗	不動正宗	Fudo Masamune	Fudo Masamune	Fudo Masamune	Fudou Masamune	Fudo Masamune	Fudo Masamune	Фудо Масамунэ	Fudo Masamune
Iron Edge	アイアンエッジ	아이언 에지	钢铁刀锋	鋼鐵刃	Eisenschneide	Filo de hierro	Tranchant en fer	Edge di ferro	Żelazne ostrze	Gume de Ferro	Стальное лезвие	Demir Kesici
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Silver Saber	シルバーサーベル	실버 사벨	白银军刀	白銀軍刀	Silbersäbel	Sable de plata	Sabre argenté	Sciabola argentea	Srebrna szabla	Sabre de Prata	Серебряная сабля	Gümüş Süvari Kılıcı
Legendary Cleaver	包丁伝説	식칼전설	菜刀传说	菜刀傳說	Legendäres Hackbeil	Cuchilla de leyenda	Couperet légendaire	Mannaia leggendaria	Legendarny tasak	Cutelo Lendário	Легендарный тесак	Efsanevi Satır
Steel Pipe	鉄パイプ	쇠 파이프	铁管	鐵管	Stahlrohr	Tubería de acero	Tuyau en métal	Tubo d'acciaio	Stalowa rura	Cano de Aço	Железная труба	Çelik Boru
Aroundight	アロンダイト	아론다이트	阿隆戴特	阿隆戴特	Aroundight	Aroundight	Arondight	Aroundight	Arondight	Arondight	Аронди	Aroundight
Tizona	エルシド	엘시드	艾尔熙德	熙德	Tizona	Tizona	Tizona	Tizona	Tizona	Tizona	Тисона	Tizona
Kaneshige	和泉守兼重	이즈미노카미 카네시게	和泉守兼重	和泉守兼重	Kaneshige	Kaneshige	Kaneshige	Kaneshige	Kaneshige	Kaneshige	Канэсигэ	Kaneshige
Sin Blade	ルナ・エッジ	루나 에지	月之刃	月光刃	Sündenklinge	Filo del pecado	Lame du péché	Lama del peccato	Ostrze grzechu	Lâmina Pecaminosa	Клинок греха	Günah Kılıcı
Shishiou	獅子王	시시오	狮子王	獅子王	Shishiou	Shishiou	Shishiou	Shishiou	Shishiou	Shishiou	Шишио	Shishiou
Omokage	面影	오모카게	面影	面影	Omokage	Omokage	Omokage	Simulacro	Omokage	Omokage	Омокаге	Omokage
Kogarasumaru	小烏丸	코가라스마루	小乌丸	小烏丸	Kogarasumaru	Kogarasumaru	Kogarasumaru	Kogarasumaru	Kogarasumaru	Kogarasumaru	Когарасумару	Kogarasumaru
Tajikarao Sword	タヂカラオの刀	타지카라오의 도	天手力神之刀	天手力男神之刀	Tajikarao-Schwert	Espada de Tajikarao	Épée Tajikarao	Spada di Tajikarao	Miecz tajikarao	Espada Tajikarao	Меч Тадзикарао	Tajikarao Kılıcı
Qi Xing Dao	七星刀	칠성도	七星刀	七星刀	Qi Xing Dao	Qi Xing Dao	Qi Xing Dao	Qi Xing Dao	Qi xing dao	Qi Xing Dao	Церемониальный меч-дао	Qi Xing Dao
Pulsing Blade	生命剣	생명검	生命剑	生命劍	Pulsklinge	Filo palpitante	Lame d'impulsion	Lama pulsante	Pulsujące ostrze	Lâmina Pulsante	Пульсирующий клинок	Darbe Kılıcı
Gimlet	ギムレット	김렛	吉姆雷特	短錐	Gimlet	Barrena	Gimlet	Gimlet	Świder	Verruma	Гимлет	Delgi
Excalibur	エクスカリバー	엑스칼리버	王者之剑	石中劍	Excalibur	Excálibur	Excalibur	Excalibur	Excalibur	Excalibur	Экскалибур	Ekskalibur
Deus Xiphos	デオスクシポス	데오스사이포스	神之剑	神之劍	Deus Xiphos	Deus Xiphos	Deus Xiphos	Deus Xiphos	Deus Xiphos	Deus Xiphos	Божественный ксифос	Deus Xiphos
Lucifer's Blade	聖杯ルシファー	성배 루시퍼	圣杯路西法	聖杯路西法	Luzifers Klinge	Hoja de Lucifer	Lame de Lucifer	Lama di Lucifero	Ostrze Lucyfera	Lâmina de Lúcifer	Клинок Люцифера	Lucifer'ın Kılıcı
未使用	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Inutilizzato	Unused	Não usado	Не используется	Kullanılmıyor
Nameless Katana	無銘の刀	무명도	无铭刀	無銘刀	Namenloses Katana	Katana sin nombre	Katana sans nom	Katana innominata	Katana bez imienia	Katana Inonimável	Безымянная катана	İsimsiz Katana
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Holy Knight Sword	聖騎士の訓練剣	성기사의 훈련검	圣骑士的训练剑	聖騎士的訓練劍	Schwert des heiligen Ritters	Espada de caballero sagrado	Épée chevaleresque	Spada del sacro cavaliere	Miecz świętego rycerza	Espada Sacrossanta	Меч паладина	Kutsal Şövalye Kılıcı
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Dual Sword	デュアルソウル	듀얼 소울	双生之魂	雙重魂魄	Doppelschwert	Espada doble	Épée double	Doppia spada	Podwójny miecz	Espada Dupla	Меч двойственности	İkili Kılıç
Yggdrasword	ユグドラソード	위그드라 소드	世界树之剑	世界樹之劍	Yggdraschwert	Espada Yggdrasil	Épée Yggdra	Yggdraspada	Miecz Yggdra	Espada de Yggdrasil	Иггдрасмеч	Yggdrasil Kılıcı
Translucent Blade	名刀透徹	명도 토테츠	名刀透彻	名刀透徹	Durchsichtige Klinge	Filo translúcido	Lame translucide	Meito Shintetsu	Prześwitujące ostrze	Lâmina Translúcida	Незримый клинок	Şeffaf Kılıç
Envenomed Blade	猛毒の刀剣	맹독의 도검	剧毒刀剑	猛毒刀劍	Vergiftete Klinge	Filo emponzoñado	Lame empoisonnée	Lama avvelenata	Ostrze nasączone trucizną	Lâmina Envenenada	Отравленный клинок	Zehre Batırılmış Kılıç
Onimaru Kunitsuna	鬼丸国綱	오니마루 쿠니츠나	鬼丸国纲	鬼丸國綱	Onimaru Kunitsuna	Onimaru Kunitsuna	Onimaru Kunitsuna	Onimaru Kunitsuna	Onimaru Kunitsuna	Onimaru Kunitsuna	Онимару Куницуны	Onimaru Kunitsuna
Practice Bow	練習用和長弓	연습용 활	练习用和式长弓	練習用和長弓	Übungsbogen	Arco de práctica	Arc d'entraînement	Arco da pratica	Łuk treningowy	Arco de Treino	Учебный лук	İdman Yayı
Short Bow	ショートボウ	쇼트 보	短弓	短弓	Kurzbogen	Arco corto	Arc court	Arco corto	Krótki łuk	Arco Curto	Короткий лук	Kısa Yay
Siren's Song	パニックボウ	패닉 보	慌乱之弓	狂亂之弓	Sirenenlied	Canto de sirena	Chant de la sirène	Canto della sirena	Pieśń syreny	Cântico da Sereia	Песнь сирены	Siren'in Şarkısı
Shigetou-yumi	重藤弓	시게토유미	重藤弓	重藤弓	Shigetou-yumi	Shigetou-yumi	Shigetou-yumi	Shigetou-yumi	Shigetou-yumi	Shigetou-yumi	Сигэто-юми	Shigetou-yumi
RainBow	レインボウ	레인 보	彩虹之弓	落雨之弓	Regenbogen	Arcoíris	Arc-en-ciel	Arco-Baleno	Tęczowy łuk	Arco Iridescente	РаДуга	Gökkuşağı Yayı
Uta	ウタ	우타	乌塔弓	獵弓	Uta	Uta	Uta	Uta	Uta	Uta	Ута	Uta
Pleiades	プレイアデス	플레이아데스	普勒阿得斯	昴宿七星	Plejaden	Pléyades	Pléiades	Pleiadi	Plejady	Plêiades	Плеяды	Ülker
Bow of Affection	寵愛の弓	총애의 활	宠爱之弓	寵愛之弓	Liebesbogen	Arco de afecto	Arc d'affection	Arco dell'affetto	Łuk afektu	Arco do Afeto	Лук амура	Marazi Yay
Toy Bow	おもちゃの弓	장난감 활	玩具弓	玩具弓	Spielzeugbogen	Arco de juguete	Arc jouet	Arco giocattolo	Zabawkowy łuk	Arco de Brinquedo	Игрушечный лук	Oyuncak Yay
Kamatha	カマーサ	카마사	卡马沙弓	長獵弓	Kamatha	Kamatha	Kamatha	Kamatha	Kamata	Kamatha	Камата	Kamatha
Poison Arrow Bow	毒矢の弓	독시의 활	毒箭弓	毒矢之弓	Giftbogen	Arco con flecha venenosa	Arc toxique	Arco velenoso	Łuk z zatrutymi strzałami	Arco Venenoso	Лук с ядовитыми стрелами	Zehirli Ok Yayı
Bold Bow	気迫の弓	기백의 활	气魄之弓	氣魄之弓	Blitzbogen	Arco llamativo	Arc vif	Arco audace	Gruby łuk	Arco Arrojado	Лук смельчака	Cesur Yay
Higo-yumi	弓胎弓	히고유미	弓胎弓	弓胎弓	Higo-yumi	Higo-yumi	Higo-yumi	Higo-yumi	Higo-yumi	Higo-yumi	Хиго-юми	Higo-yumi
Heavenly Windbow	神速の風弓	신속의 바람활	神速之风弓	神速之風弓	Himmlischer Windbogen	Arco de viento celestial	Arc céleste	Arco del vento celeste	Niebiański łuk wiatru	Arco do Vento Sacro	Лук небесного ветра	Semavi Rüzgar Yayı
