en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Inutilizzato	Unused	Não usado	Не используется	Kullanılmıyor
Agi	アギ	아기	亚基	亞基	Agi	Agi	Agi	Agi	Zwinność	Agi	Аги	Agi
Agilao	アギラオ	아기라오	亚基拉欧	亞基拉歐	Agilao	Agilao	Agilao	Agilao	Agilao	Agilao	Агилао	Agilao
Agidyne	アギダイン	아기다인	亚基达因	亞基達因	Agidyne	Agidyne	Agidyne	Agidyne	Agidyne	Agidyne	Агидин	Agidyne
Maragi	マハラギ	마하라기	玛哈拉基	瑪哈拉基	Maragi	Maragi	Maragi	Maragi	Maragi	Maragi	Мараги	Maragi
Maragion	マハラギオン	마하라기온	玛哈拉基翁	瑪哈拉基翁	Maragion	Maragion	Maragion	Maragion	Maragion	Maragion	Марагион	Maragion
Maragidyne	マハラギダイン	마하라기다인	玛哈拉基达因	瑪哈拉基達因	Maragidyne	Maragidyne	Maragidyne	Maragidyne	Maragidyne	Maragidyne	Марагидин	Maragidyne
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Garu	ガル	갈	加尔	加爾	Garu	Garu	Garu	Garu	Garu	Garu	Гару	Garu
Garula	ガルーラ	갈라	加尔拉	加爾拉	Garula	Garula	Garula	Garula	Garula	Garula	Гарула	Garula
Garudyne	ガルダイン	갈다인	加尔达因	加爾達因	Garudyne	Garudyne	Garudyne	Garudyne	Garudyne	Garudyne	Гарудин	Garudyne
Magaru	マハガル	마하갈	玛哈加尔	瑪哈加爾	Magaru	Magaru	Magaru	Magaru	Magaru	Magaru	Магару	Magaru
Magarula	マハガルーラ	마하갈라	玛哈加尔拉	瑪哈加爾拉	Magarula	Magarula	Magarula	Magarula	Magarula	Magarula	Магарула	Magarula
Magarudyne	マハガルダイン	마하갈다인	玛哈加尔达因	瑪哈加爾達因	Magarudyne	Magarudyne	Magarudyne	Magarudyne	Magarudyne	Magarudyne	Магарудин	Magarudyne
Bufu	ブフ	부흐	布芙	布芙	Bufu	Bufu	Bufu	Bufu	Bufu	Bufu	Буфу	Bufu
Bufula	ブフーラ	부흐라	布芙拉	布芙拉	Bufula	Bufula	Bufula	Bufula	Bufula	Bufula	Буфула	Bufula
Bufudyne	ブフダイン	부흐다인	布芙达因	布芙達因	Bufudyne	Bufudyne	Bufudyne	Bufudyne	Bufudyne	Bufudyne	Буфудин	Bufudyne
Mabufu	マハブフ	마하부흐	玛哈布芙	瑪哈布芙	Mabufu	Mabufu	Mabufu	Mabufu	Mabufu	Mabufu	Мабуфу	Mabufu
Mabufula	マハブフーラ	마하부흐라	玛哈布芙拉	瑪哈布芙拉	Mabufula	Mabufula	Mabufula	Mabufula	Mabufula	Mabufula	Мабуфула	Mabufula
Mabufudyne	マハブフダイン	마하부흐다인	玛哈布芙达因	瑪哈布芙達因	Mabufudyne	Mabufudyne	Mabufudyne	Mabufudyne	Mabufudyne	Mabufudyne	Мабуфудин	Mabufudyne
Zio	ジオ	지오	吉欧	吉歐	Zio	Zio	Zio	Zio	Zio	Zio	Зио	Zio
Zionga	ジオンガ	지온가	吉欧加	吉歐加	Zionga	Zionga	Zionga	Zionga	Zionga	Zionga	Зионга	Zionga
Ziodyne	ジオダイン	지오다인	吉欧达因	吉歐達因	Ziodyne	Ziodyne	Ziodyne	Ziodyne	Ziodyne	Ziodyne	Зиодин	Ziodyne
Mazio	マハジオ	마하지오	玛哈吉欧	瑪哈吉歐	Mazio	Mazio	Mazio	Mazio	Mazio	Mazio	Мазио	Mazio
Mazionga	マハジオンガ	마하지온가	玛哈吉欧加	瑪哈吉歐加	Mazionga	Mazionga	Mazionga	Mazionga	Mazionga	Mazionga	Мазионга	Mazionga
Maziodyne	マハジオダイン	마하지오다인	玛哈吉欧达因	瑪哈吉歐達因	Maziodyne	Maziodyne	Maziodyne	Maziodyne	Maziodyne	Maziodyne	Мазиодин	Maziodyne
Megido	メギド	메기도	米吉多	米吉多	Megido	Megido	Megido	Megido	Megido	Megido	Мегидо	Megido
Megidola	メギドラ	메기도라	米吉多拉	米吉多拉	Megidola	Megidola	Megidola	Megidola	Megidola	Megidola	Мегидола	Megidola
Megidolaon	メギドラオン	메기도라온	米吉多拉翁	米吉多拉翁	Megidolaon	Megidolaon	Megidolaon	Megidolaon	Megidolaon	Megidolaon	Мегидолаон	Megidolaon
Kouha	コウハ	코우하	克哈	克哈	Kouha	Kouha	Kouha	Kouha	Kouha	Kouha	Куха	Kouha
Kouga	コウガ	코우가	克加	克加	Kouga	Kouga	Kouga	Kouga	Kouga	Kouga	Куга	Kouga
Kougaon	コウガオン	코우가온	克加翁	克加翁	Kougaon	Kougaon	Kougaon	Kougaon	Kougaon	Kougaon	Кугаон	Kougaon
Makouha	マハコウハ	마하코우하	玛哈克哈	瑪哈克哈	Makouha	Makouha	Makouha	Makouha	Makouha	Makouha	Макуха	Makouha
Makouga	マハコウガ	마하코우가	玛哈克加	瑪哈克加	Makouga	Makouga	Makouga	Makouga	Makouga	Makouga	Макуга	Makouga
