en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Inutilizzato	Unused	Não usado	Не используется	Kullanılmıyor
Engineer Boots	エンジニアブーツ	엔지니어 부츠	技师靴	工程師長靴	Feste Stiefel	Botas de ingeniero	Bottes d'ingénieur	Stivali da ingegnere	Buty inżyniera	Bota de Maquinista	Обувь инженера	Mühendis Botu
Brown Loafers	ブラウンローファー	브라운 로퍼	棕色乐福鞋	棕色樂福鞋	Braune Slipper	Mocasines marrones	Mocassins marron	Mocassini marroni	Brązowe mokasyny	Mocassim Marrom	Коричневые слипоны	Kahverengi Loafer Ayakkabı
Straight Tip	ストレートチップ	스트레이트 팁	三接头皮靴	橫紋皮鞋	Glatte Stiefel	Botas de punta recta	Bottines	Scarpe classiche	Prosty czubek	Bota de Bico Reto	Туфли-оксфорды	Kösele Ayakkabı
Inverse Shoes	コンボスシューズ	콤보스 슈즈	常规款皮鞋	運動鞋	Kombischuhe	Zapatillas Inverse	Chaussures Conberce	Scarpe Inverse	Odwrotne buty	Sapato Invertido	Необычные туфли	Ters Ayakkabı
Knee-High Boots	ヒールブーツ	힐 부츠	高跟长靴	高跟長靴	Kniehohe Stiefel	Botas altas	Cuissardes	Stivali alti	Buty do kolan	Bota de Cano Alto	Ботфорты	Diz Hizasında Çizme
Black Loafers	ブラックローファー	블랙 로퍼	黑色乐福鞋	黑色樂福鞋	Schwarze Slipper	Mocasines negros	Mocassins noirs	Mocassini neri	Czarne mokasyny	Mocassim Preto	Черные лоферы	Siyah Loafer Ayakkabı
Pearlite Legs	パーライト脚装具	펄라이트 다리장비	珠光体脚部装具	珍珠岩腳部裝甲	Perlen-Beinschienen	Piernas de perlita	Jambes en perlite	Gambali di perlite	Perlitowe nogawice	Pernas de Perlita	Перлитовые ноги	Perlit Bacaklar
Soccer Shoes	サッカーシューズ	축구화	足球鞋	足球鞋	Fußballschuhe	Botas de fútbol	Tennis	Scarpe da calcio	Buty piłkarskie	Chuteira	Футбольные бутсы	Futbol Ayakkabısı
Bare Paws	素足	맨발	光脚	光腳	Bloße Tatzen	Patas desnudas	Pantoufles pattes	Zampe nude	Nagie łapy	Patas Nuas	Босые лапы	Çıplak Patiler
